source_project,target_project,scenario,best_epoch,wall_time_sec,ref_top1,ref_top5,ref_top10,ref_MAP,ref_MRR,full_top1,full_top5,full_top10,full_MAP,full_MRR,res_top1,res_top5,res_top10,res_MAP,res_MRR,n_test,n_gt_files,n_gt_files_in_top300
ansible/ansible,jupyterlab/jupyterlab,CP-cold-start,10,5536.9,0.2,0.375,0.475,0.228,0.2797,0.25,0.4,0.45,0.2674,0.3454,0.175,0.2,0.225,0.1741,0.1922,40,89,17
ansible/ansible,lightning-ai/lightning,CP-cold-start,10,3372.5,0.2533,0.4667,0.5467,0.2837,0.3532,0.12,0.4533,0.6,0.2279,0.2846,0.12,0.4667,0.6,0.2288,0.2853,75,216,214
ansible/ansible,prefecthq/prefect,CP-cold-start,10,3669.4,0.122,0.3659,0.5,0.1965,0.2475,0.1829,0.378,0.5976,0.2241,0.2915,0.1585,0.378,0.5122,0.2186,0.2654,82,281,141
docker/compose,ipython/ipython,CP-cold-start,10,5069.3,0.0828,0.142,0.1953,0.1111,0.1259,0.1065,0.2249,0.284,0.1418,0.1733,0.1006,0.1834,0.2485,0.1411,0.1592,169,362,206
docker/compose,jupyterlab/jupyterlab,CP-cold-start,5,5014.0,0.125,0.25,0.3,0.148,0.194,0.2,0.25,0.275,0.1792,0.2388,0.125,0.175,0.2,0.1309,0.1559,40,89,17
ipython/ipython,docker/compose,CP-cold-start,10,2305.2,0.1197,0.4103,0.5726,0.2325,0.256,0.1026,0.359,0.5556,0.2044,0.2348,0.1111,0.3761,0.5556,0.2131,0.2452,117,259,259
jupyterlab/jupyterlab,ansible/ansible,CP-cold-start,10,10172.2,0.1299,0.2078,0.2727,0.1462,0.1849,0.0974,0.2143,0.2857,0.1287,0.1642,0.0714,0.1169,0.1429,0.0879,0.0983,154,318,56
jupyterlab/jupyterlab,docker/compose,CP-cold-start,7,1326.5,0.0513,0.1026,0.1966,0.0858,0.1018,0.1026,0.2137,0.3248,0.1355,0.1699,0.1026,0.265,0.3675,0.1517,0.1855,117,259,259
jupyterlab/jupyterlab,ipython/ipython,CP-cold-start,9,3700.4,0.1065,0.2604,0.3254,0.1606,0.1894,0.1243,0.3077,0.3432,0.1802,0.2108,0.1479,0.2781,0.3077,0.1891,0.207,169,362,206
jupyterlab/jupyterlab,lightning-ai/lightning,CP-cold-start,10,2039.8,0.12,0.3333,0.48,0.1716,0.2232,0.16,0.44,0.5333,0.1989,0.2833,0.16,0.44,0.5333,0.1992,0.2841,75,216,214
jupyterlab/jupyterlab,localstack/localstack,CP-cold-start,10,4930.9,0.1579,0.3368,0.3895,0.1571,0.2455,0.1579,0.3053,0.4105,0.1392,0.244,0.0737,0.1895,0.2421,0.1017,0.136,95,335,199
jupyterlab/jupyterlab,mesonbuild/meson,CP-cold-start,8,4427.1,0.0847,0.3069,0.3915,0.1625,0.1949,0.0952,0.2698,0.4021,0.1543,0.1883,0.1111,0.2434,0.3016,0.1514,0.1674,189,444,137
jupyterlab/jupyterlab,numpy/numpy,CP-cold-start,8,14880.1,0.1615,0.3789,0.4845,0.2525,0.2765,0.205,0.4348,0.5404,0.2904,0.3181,0.2112,0.4224,0.5093,0.3005,0.3199,161,369,195
jupyterlab/jupyterlab,prefecthq/prefect,CP-cold-start,10,2457.9,0.061,0.1829,0.3415,0.1058,0.1389,0.1463,0.3537,0.4756,0.2015,0.2573,0.0732,0.2927,0.378,0.1485,0.172,82,281,141
jupyterlab/jupyterlab,pydata/xarray,CP-cold-start,8,1746.0,0.12,0.24,0.44,0.1569,0.2108,0.12,0.24,0.48,0.1605,0.2063,0.12,0.24,0.48,0.1606,0.2064,25,37,37
jupyterlab/jupyterlab,qiskit/qiskit,CP-cold-start,7,6849.6,0.1066,0.25,0.3456,0.1399,0.1884,0.136,0.3125,0.4375,0.1733,0.2285,0.0993,0.2353,0.3309,0.1418,0.1671,272,1240,536
jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-cold-start,10,3680.8,0.0652,0.1739,0.2609,0.1413,0.1413,0.087,0.2609,0.3043,0.1508,0.1634,0.0435,0.1522,0.2391,0.1022,0.1034,46,56,32
ipython/ipython,jupyterlab/jupyterlab,CP-cold-start,10,5366.6,0.225,0.375,0.45,0.2313,0.3094,0.35,0.55,0.575,0.3544,0.4505,0.15,0.225,0.25,0.1561,0.1915,40,89,17
ipython/ipython,qiskit/qiskit,CP-cold-start,10,7882.7,0.1287,0.3272,0.4154,0.1781,0.2335,0.136,0.2904,0.3971,0.1711,0.2225,0.114,0.2243,0.3235,0.1475,0.1712,272,1240,536
jupyterlab/jupyterlab,wagtail/wagtail,CP-cold-start,6,10389.1,0.0732,0.1951,0.2927,0.1098,0.1428,0.1098,0.2195,0.2805,0.135,0.1767,0.0244,0.122,0.1585,0.0702,0.0737,82,153,38
lightning-ai/lightning,ansible/ansible,CP-cold-start,10,10332.2,0.1234,0.2273,0.3247,0.1504,0.1863,0.1234,0.2532,0.3377,0.1482,0.1917,0.0519,0.1299,0.1429,0.0769,0.0855,154,318,56
lightning-ai/lightning,ipython/ipython,CP-cold-start,9,5190.6,0.1657,0.3018,0.355,0.2014,0.2355,0.1775,0.3136,0.4024,0.2201,0.2537,0.1302,0.2485,0.3491,0.1797,0.1945,169,362,206
lightning-ai/lightning,jupyterlab/jupyterlab,CP-cold-start,7,5427.8,0.075,0.325,0.475,0.1353,0.2091,0.1,0.275,0.35,0.1413,0.1739,0.025,0.1,0.175,0.0578,0.0739,40,89,17
lightning-ai/lightning,localstack/localstack,CP-cold-start,10,6290.2,0.1579,0.3684,0.4526,0.156,0.2674,0.1579,0.3684,0.4526,0.153,0.2568,0.0842,0.2421,0.3158,0.1237,0.1574,95,335,199
lightning-ai/lightning,prefecthq/prefect,CP-cold-start,8,3157.7,0.122,0.3171,0.4024,0.1745,0.227,0.1341,0.4146,0.5366,0.2051,0.2649,0.1341,0.3171,0.4146,0.1908,0.2131,82,281,141
localstack/localstack,lightning-ai/lightning,CP-cold-start,10,3028.2,0.16,0.4533,0.5867,0.2321,0.298,0.1333,0.48,0.6933,0.2327,0.2934,0.1333,0.4933,0.7067,0.2345,0.2952,75,216,214
localstack/localstack,numpy/numpy,CP-cold-start,10,16592.6,0.1739,0.3168,0.4224,0.2244,0.2577,0.1366,0.2919,0.4099,0.1892,0.2273,0.1615,0.3292,0.472,0.2403,0.2572,161,369,195
mesonbuild/meson,jupyterlab/jupyterlab,CP-cold-start,10,5252.7,0.125,0.375,0.475,0.1939,0.2526,0.1,0.375,0.525,0.1995,0.2607,0.075,0.2,0.225,0.1272,0.1424,40,89,17
numpy/numpy,jupyterlab/jupyterlab,CP-cold-start,10,4847.6,0.175,0.45,0.575,0.2514,0.3013,0.1,0.425,0.55,0.2026,0.2458,0.05,0.175,0.225,0.1059,0.1142,40,89,17
numpy/numpy,lightning-ai/lightning,CP-cold-start,10,1492.9,0.1867,0.4533,0.64,0.2681,0.3318,0.24,0.4933,0.6267,0.2685,0.3667,0.2533,0.4933,0.6267,0.2756,0.3734,75,216,214
numpy/numpy,localstack/localstack,CP-cold-start,10,2906.0,0.0737,0.2105,0.2737,0.0787,0.1509,0.0842,0.1895,0.3053,0.0816,0.1542,0.0316,0.1263,0.2526,0.0634,0.0924,95,335,199
numpy/numpy,mesonbuild/meson,CP-cold-start,9,2608.6,0.2116,0.4656,0.6296,0.2728,0.3331,0.0847,0.2593,0.3915,0.1422,0.1766,0.0952,0.254,0.3069,0.1456,0.1585,189,444,137
numpy/numpy,prefecthq/prefect,CP-cold-start,10,1656.6,0.0976,0.2195,0.378,0.1348,0.1704,0.0976,0.3049,0.4024,0.1751,0.2052,0.0488,0.2195,0.2805,0.1326,0.1366,82,281,141
numpy/numpy,pydata/xarray,CP-cold-start,10,1284.7,0.16,0.4,0.64,0.2446,0.293,0.2,0.6,0.68,0.3089,0.396,0.2,0.6,0.68,0.3089,0.396,25,37,37
numpy/numpy,qiskit/qiskit,CP-cold-start,10,4468.2,0.1618,0.3456,0.4669,0.1845,0.254,0.136,0.3199,0.4375,0.1732,0.234,0.1029,0.2316,0.3088,0.1368,0.1681,272,1240,536
numpy/numpy,scikit-learn/scikit-learn,CP-cold-start,10,3025.8,0.1522,0.5652,0.6522,0.3329,0.3503,0.2609,0.587,0.6739,0.389,0.4082,0.2174,0.413,0.5,0.3073,0.3111,46,56,32
prefecthq/prefect,ansible/ansible,CP-cold-start,10,6802.9,0.0779,0.1494,0.1883,0.0904,0.1181,0.0455,0.1364,0.1948,0.0788,0.095,0.013,0.0584,0.0974,0.0313,0.0352,154,318,56
prefecthq/prefect,jupyterlab/jupyterlab,CP-cold-start,8,3257.7,0.225,0.5,0.65,0.2727,0.3419,0.325,0.45,0.625,0.2804,0.4035,0.1,0.2,0.225,0.1087,0.1349,40,89,17
prefecthq/prefect,lightning-ai/lightning,CP-cold-start,10,1783.7,0.32,0.6533,0.76,0.3468,0.4723,0.2,0.6933,0.76,0.3046,0.397,0.2,0.6933,0.76,0.3105,0.4029,75,216,214
prefecthq/prefect,mesonbuild/meson,CP-cold-start,8,3244.4,0.1429,0.3704,0.4921,0.2174,0.2569,0.1058,0.3333,0.4868,0.1899,0.227,0.1058,0.2169,0.291,0.149,0.1634,189,444,137
prefecthq/prefect,numpy/numpy,CP-cold-start,10,10029.2,0.1863,0.3975,0.528,0.2485,0.2837,0.1677,0.4348,0.4907,0.2453,0.2881,0.1739,0.3665,0.4596,0.2506,0.273,161,369,195
