model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR
TRANP-CNN,spring-projects/spring-data-jpa,spring-projects/spring-data-rest,WP-small,0.14814814814814814,0.4074074074074074,0.5185185185185185,0.15853679617016556,0.27175704142078405
TRANP-CNN,spring-projects/spring-data-jpa,spring-projects/spring-data-rest,WP-large,0.2222222222222222,0.5925925925925926,0.5925925925925926,0.24099914716788942,0.4125185406460186
TRANP-CNN,spring-projects/spring-data-jpa,spring-projects/spring-data-rest,CP-cold-start,0.03787878787878788,0.08333333333333333,0.13636363636363635,0.04404096080814248,0.08106268448184979
TRANP-CNN,spring-projects/spring-data-jpa,spring-projects/spring-data-rest,CP-transfer,0.18518518518518517,0.4074074074074074,0.5555555555555556,0.20688867357898058,0.3017743980608457
TRANP-CNN,dmwm/wmcore,rucio/rucio,WP-small,0.016666666666666666,0.08333333333333333,0.15,0.04808470874997142,0.04975137541663809
TRANP-CNN,dmwm/wmcore,rucio/rucio,WP-large,0.016666666666666666,0.05,0.11666666666666667,0.043250160333493666,0.04453984287317621
TRANP-CNN,square/anvil,square/kotlinpoet,WP-small,0.0,0.6,0.8,0.19743989603638729,0.23095238095238094
TRANP-CNN,square/anvil,square/kotlinpoet,WP-large,0.4,0.8,0.8,0.3340590681248576,0.5458333333333333
TRANP-CNN,square/anvil,square/kotlinpoet,CP-cold-start,0.0,0.0,0.041666666666666664,0.03860346277586821,0.03835393226599335
TRANP-CNN,square/anvil,square/kotlinpoet,CP-transfer,0.0,0.6,0.6,0.1752477454285925,0.17484848484848486
TRANP-CNN,spring-projects/spring-data-mongodb,spring-projects/spring-data-jpa,WP-small,0.06666666666666667,0.2,0.4,0.1519998612496615,0.1892248622525867
TRANP-CNN,spring-projects/spring-data-mongodb,spring-projects/spring-data-jpa,WP-large,0.3,0.4,0.5,0.2651660326670862,0.38475412601007414
TRANP-CNN,spring-projects/spring-data-mongodb,spring-projects/spring-data-jpa,CP-cold-start,0.006802721088435374,0.02040816326530612,0.05442176870748299,0.028907150222721043,0.03688891158658967
TRANP-CNN,spring-projects/spring-data-mongodb,spring-projects/spring-data-jpa,CP-transfer,0.06666666666666667,0.3333333333333333,0.5333333333333333,0.14652450017040672,0.19877673004231533
TRANP-CNN,spring-projects/spring-security,spring-projects/spring-security-oauth,WP-small,0.19047619047619047,0.3333333333333333,0.38095238095238093,0.19673328657591713,0.2944537626921596
TRANP-CNN,spring-projects/spring-security,spring-projects/spring-security-oauth,WP-large,0.14285714285714285,0.23809523809523808,0.3333333333333333,0.1781686586134302,0.21636776073672453
TRANP-CNN,spring-projects/spring-security,spring-projects/spring-security-oauth,CP-cold-start,0.0,0.0,0.0,0.009574301792227579,0.011628066593803742
TRANP-CNN,spring-projects/spring-security,spring-projects/spring-security-oauth,CP-transfer,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.2218770870602235,0.29614265211543267
TRANP-CNN,spring-projects/spring-security-oauth,spring-projects/spring-security,WP-small,0.01834862385321101,0.06422018348623854,0.09174311926605505,0.15187450865040988,0.1512768920773227
TRANP-CNN,spring-projects/spring-security-oauth,spring-projects/spring-security,WP-large,0.027522935779816515,0.05504587155963303,0.07339449541284404,0.1554732310667167,0.15640639705365766
TRANP-CNN,spring-projects/spring-security-oauth,spring-projects/spring-security,CP-cold-start,0.009174311926605505,0.009174311926605505,0.01834862385321101,0.045061364787893375,0.047262444981849644
TRANP-CNN,spring-projects/spring-security-oauth,spring-projects/spring-security,CP-transfer,0.01834862385321101,0.09174311926605505,0.10091743119266056,0.18272652635250397,0.1815059237401732
TRANP-CNN,wildfly/wildfly,wildfly/wildfly-core,WP-small,0.0139,0.0417,0.0694,0.11,0.1262
TRANP-CNN,wildfly/wildfly,wildfly/wildfly-core,WP-large,0.0,0.0417,0.0694,0.0835,0.1009
TRANP-CNN,wildfly/wildfly,wildfly/wildfly-core,CP-cold-start,0.0,0.0,0.0,0.0081,0.0085
TRANP-CNN,wildfly/wildfly,wildfly/wildfly-core,CP-transfer,0.0278,0.0417,0.0694,0.1461,0.1933
TRANP-CNN,wildfly/wildfly-core,wildfly/wildfly,WP-small,0.0,0.0152,0.0203,0.1089,0.1148
TRANP-CNN,wildfly/wildfly-core,wildfly/wildfly,WP-large,0.0,0.0102,0.0102,0.0694,0.0679
TRANP-CNN,wildfly/wildfly-core,wildfly/wildfly,CP-cold-start,0.0,0.0102,0.0152,0.0431,0.0583
TRANP-CNN,wildfly/wildfly-core,wildfly/wildfly,CP-transfer,0.0051,0.0051,0.0152,0.1143,0.1147
TRANP-CNN,scikit-learn/scikit-learn,scipy/scipy,WP-small,0.0,0.0,0.0,0.0037,0.0037
TRANP-CNN,scikit-learn/scikit-learn,scipy/scipy,WP-large,0.0,0.0,0.0,0.0242,0.0242
TRANP-CNN,scikit-learn/scikit-learn,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0201,0.0201
TRANP-CNN,scikit-learn/scikit-learn,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0098,0.0098
TRANP-CNN,scipy/scipy,scikit-learn/scikit-learn,WP-small,0.0,0.087,0.1522,0.1142,0.1185
TRANP-CNN,scipy/scipy,scikit-learn/scikit-learn,WP-large,0.0217,0.1304,0.1739,0.2119,0.2395
TRANP-CNN,scipy/scipy,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0,0.0055,0.0054
TRANP-CNN,scipy/scipy,scikit-learn/scikit-learn,CP-transfer,0.0435,0.1087,0.2174,0.2715,0.3083
TRANP-CNN,google/jax,ray-project/ray,WP-small,0.0,0.0441,0.1618,0.0899,0.1074
TRANP-CNN,google/jax,ray-project/ray,WP-large,0.0588,0.1618,0.2059,0.2348,0.2515
TRANP-CNN,google/jax,ray-project/ray,CP-cold-start,0.0,0.0294,0.0588,0.0536,0.0581
TRANP-CNN,google/jax,ray-project/ray,CP-transfer,0.0,0.1765,0.2353,0.1548,0.1826
TRANP-CNN,ray-project/ray,google/jax,WP-small,0.2456,0.5439,0.6842,0.3255,0.3988
TRANP-CNN,ray-project/ray,google/jax,WP-large,0.2719,0.6053,0.7193,0.3815,0.4465
TRANP-CNN,ray-project/ray,google/jax,CP-cold-start,0.0,0.0088,0.0526,0.0258,0.0268
TRANP-CNN,ray-project/ray,google/jax,CP-transfer,0.1316,0.4649,0.6667,0.2526,0.2853
TRANP-CNN,scipy/scipy,sympy/sympy,WP-small,0.026,0.0779,0.1169,0.172,0.2155
TRANP-CNN,scipy/scipy,sympy/sympy,WP-large,0.026,0.0649,0.0909,0.1798,0.2086
TRANP-CNN,scipy/scipy,sympy/sympy,CP-cold-start,0.0,0.0,0.039,0.0365,0.042
TRANP-CNN,scipy/scipy,sympy/sympy,CP-transfer,0.013,0.0519,0.0649,0.099,0.1413
TRANP-CNN,sympy/sympy,scipy/scipy,WP-small,0.0,0.0,0.0,0.0041,0.0041
TRANP-CNN,sympy/sympy,scipy/scipy,WP-large,0.0,0.0,0.0,0.0395,0.0395
TRANP-CNN,sympy/sympy,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0067,0.0067
TRANP-CNN,sympy/sympy,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0153,0.0153
TRANP-CNN,scipy/scipy,matplotlib/matplotlib,WP-small,0.027,0.1081,0.1892,0.2854,0.2854
TRANP-CNN,scipy/scipy,matplotlib/matplotlib,WP-large,0.0,0.1351,0.1892,0.2152,0.2152
TRANP-CNN,scipy/scipy,matplotlib/matplotlib,CP-cold-start,0.0,0.0,0.0,0.0236,0.0236
TRANP-CNN,scipy/scipy,matplotlib/matplotlib,CP-transfer,0.027,0.027,0.1351,0.2223,0.2223
TRANP-CNN,matplotlib/matplotlib,scipy/scipy,WP-small,0.0,0.0,0.0,0.0039,0.0039
TRANP-CNN,matplotlib/matplotlib,scipy/scipy,WP-large,0.0,0.0,0.0,0.0251,0.0251
TRANP-CNN,matplotlib/matplotlib,scipy/scipy,CP-cold-start,0.0,0.0,0.0,0.0061,0.0061
TRANP-CNN,matplotlib/matplotlib,scipy/scipy,CP-transfer,0.0,0.0,0.0,0.0181,0.0181
TRANP-CNN,scipy/scipy,numpy/numpy,WP-small,0.0186,0.0745,0.1863,0.1232,0.1385
TRANP-CNN,scipy/scipy,numpy/numpy,WP-large,0.0621,0.1615,0.205,0.2219,0.264
