model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR,n_reachable,n_test,denominator_corrected
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,WP-small,0.2,0.4533,0.64,0.2533,0.3351,75.0,75.0,yes
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,WP-large,0.5067,0.7333,0.7867,0.478,0.6027,75.0,75.0,yes
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,CP-cold-start,0.16,0.44,0.5333,0.1992,0.2841,75.0,75.0,yes
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,CP-transfer,0.3733,0.5733,0.6933,0.3573,0.4741,75.0,75.0,yes
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,WP-small,0.075,0.175,0.25,0.1103,0.1241,38.0,40.0,yes
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,WP-large,0.175,0.25,0.25,0.1818,0.2086,38.0,40.0,yes
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,CP-cold-start,0.025,0.1,0.175,0.0578,0.0739,38.0,40.0,yes
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,CP-transfer,0.125,0.175,0.2,0.1202,0.1497,38.0,40.0,yes
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,WP-small,0.1829,0.4024,0.5,0.2304,0.2778,82.0,82.0,yes
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,WP-large,0.3293,0.5244,0.5732,0.3517,0.4122,82.0,82.0,yes
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,CP-cold-start,0.0732,0.2927,0.378,0.1485,0.172,82.0,82.0,yes
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,CP-transfer,0.1585,0.439,0.5122,0.2318,0.2811,82.0,82.0,yes
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,WP-small,0.0,0.025,0.05,0.017,0.0185,38.0,40.0,yes
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,WP-large,0.125,0.2,0.225,0.1453,0.1641,38.0,40.0,yes
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,CP-cold-start,0.1,0.2,0.225,0.1087,0.1349,38.0,40.0,yes
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,CP-transfer,0.175,0.25,0.25,0.1779,0.2033,38.0,40.0,yes
BLAZE,jupyterlab/jupyterlab,pydata/xarray,WP-small,0.08,0.2,0.28,0.1309,0.1523,25.0,25.0,yes
BLAZE,jupyterlab/jupyterlab,pydata/xarray,WP-large,0.28,0.72,0.8,0.435,0.4789,25.0,25.0,yes
BLAZE,jupyterlab/jupyterlab,pydata/xarray,CP-cold-start,0.12,0.24,0.48,0.1606,0.2064,25.0,25.0,yes
BLAZE,jupyterlab/jupyterlab,pydata/xarray,CP-transfer,0.12,0.52,0.68,0.2798,0.3281,25.0,25.0,yes
BLAZE,pydata/xarray,jupyterlab/jupyterlab,WP-small,0.0,0.025,0.075,0.0253,0.0268,38.0,40.0,yes
BLAZE,pydata/xarray,jupyterlab/jupyterlab,WP-large,0.125,0.175,0.25,0.139,0.156,38.0,40.0,yes
BLAZE,pydata/xarray,jupyterlab/jupyterlab,CP-cold-start,0.1,0.275,0.275,0.1427,0.1647,38.0,40.0,yes
BLAZE,pydata/xarray,jupyterlab/jupyterlab,CP-transfer,0.1,0.175,0.175,0.1123,0.1275,38.0,40.0,yes
BLAZE,jupyterlab/jupyterlab,numpy/numpy,WP-small,0.2422,0.4348,0.5217,0.3164,0.3388,161.0,161.0,yes
BLAZE,jupyterlab/jupyterlab,numpy/numpy,WP-large,0.3168,0.5404,0.6211,0.3956,0.4254,161.0,161.0,yes
BLAZE,jupyterlab/jupyterlab,numpy/numpy,CP-cold-start,0.2112,0.4224,0.5093,0.3005,0.3199,161.0,161.0,yes
BLAZE,jupyterlab/jupyterlab,numpy/numpy,CP-transfer,0.2671,0.4658,0.5528,0.3378,0.3645,161.0,161.0,yes
BLAZE,numpy/numpy,jupyterlab/jupyterlab,WP-small,0.0,0.025,0.025,0.0164,0.0172,38.0,40.0,yes
BLAZE,numpy/numpy,jupyterlab/jupyterlab,WP-large,0.175,0.225,0.25,0.1809,0.2045,38.0,40.0,yes
BLAZE,numpy/numpy,jupyterlab/jupyterlab,CP-cold-start,0.05,0.175,0.225,0.1059,0.1142,38.0,40.0,yes
BLAZE,numpy/numpy,jupyterlab/jupyterlab,CP-transfer,0.175,0.225,0.225,0.1738,0.1978,38.0,40.0,yes
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-small,0.087,0.1957,0.2391,0.1478,0.1536,46.0,46.0,yes
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-large,0.2609,0.5217,0.5652,0.3635,0.3725,46.0,46.0,yes
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-cold-start,0.0435,0.1522,0.2391,0.1022,0.1034,46.0,46.0,yes
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-transfer,0.2174,0.413,0.4565,0.291,0.2982,46.0,46.0,yes
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-small,0.05,0.2,0.225,0.0878,0.1048,38.0,40.0,yes
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-large,0.125,0.2,0.225,0.1465,0.1676,38.0,40.0,yes
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-cold-start,0.1,0.175,0.2,0.1124,0.135,38.0,40.0,yes
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-transfer,0.1,0.225,0.25,0.121,0.1495,38.0,40.0,yes
BLAZE,lightning-ai/lightning,prefecthq/prefect,WP-small,0.1707,0.3537,0.439,0.208,0.2457,82.0,82.0,yes
