model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR,n_reachable,n_test,denominator_corrected
BLAZE,lightning-ai/lightning,prefecthq/prefect,WP-large,0.2805,0.4634,0.5854,0.3113,0.3745,82.0,82.0,yes
BLAZE,lightning-ai/lightning,prefecthq/prefect,CP-cold-start,0.1341,0.3171,0.4146,0.1908,0.2131,82.0,82.0,yes
BLAZE,lightning-ai/lightning,prefecthq/prefect,CP-transfer,0.2073,0.3902,0.4878,0.2497,0.2957,82.0,82.0,yes
BLAZE,prefecthq/prefect,lightning-ai/lightning,WP-small,0.2133,0.56,0.68,0.2745,0.351,75.0,75.0,yes
BLAZE,prefecthq/prefect,lightning-ai/lightning,WP-large,0.3467,0.6667,0.76,0.4013,0.481,75.0,75.0,yes
BLAZE,prefecthq/prefect,lightning-ai/lightning,CP-cold-start,0.2,0.6933,0.76,0.3105,0.4029,75.0,75.0,yes
BLAZE,prefecthq/prefect,lightning-ai/lightning,CP-transfer,0.4,0.7467,0.84,0.4071,0.5359,75.0,75.0,yes
BLAZE,lightning-ai/lightning,pydata/xarray,WP-small,0.12,0.2,0.28,0.1613,0.1993,25.0,25.0,yes
BLAZE,lightning-ai/lightning,pydata/xarray,WP-large,0.44,0.68,0.76,0.4786,0.5513,25.0,25.0,yes
BLAZE,lightning-ai/lightning,pydata/xarray,CP-cold-start,0.24,0.52,0.64,0.3166,0.3844,25.0,25.0,yes
BLAZE,lightning-ai/lightning,pydata/xarray,CP-transfer,0.4,0.72,0.76,0.4436,0.5453,25.0,25.0,yes
BLAZE,pydata/xarray,lightning-ai/lightning,WP-small,0.2,0.4667,0.6,0.2648,0.3294,75.0,75.0,yes
BLAZE,pydata/xarray,lightning-ai/lightning,WP-large,0.3733,0.64,0.7733,0.3926,0.4989,75.0,75.0,yes
BLAZE,pydata/xarray,lightning-ai/lightning,CP-cold-start,0.28,0.4933,0.6,0.305,0.4028,75.0,75.0,yes
BLAZE,pydata/xarray,lightning-ai/lightning,CP-transfer,0.3867,0.7067,0.7867,0.4154,0.5288,75.0,75.0,yes
BLAZE,lightning-ai/lightning,numpy/numpy,WP-small,0.2547,0.4286,0.5404,0.3185,0.3399,161.0,161.0,yes
BLAZE,lightning-ai/lightning,numpy/numpy,WP-large,0.3043,0.5404,0.6087,0.3896,0.42,161.0,161.0,yes
BLAZE,lightning-ai/lightning,numpy/numpy,CP-cold-start,0.2671,0.4658,0.559,0.3296,0.353,161.0,161.0,yes
BLAZE,lightning-ai/lightning,numpy/numpy,CP-transfer,0.2422,0.4783,0.5404,0.3282,0.3466,161.0,161.0,yes
BLAZE,numpy/numpy,lightning-ai/lightning,WP-small,0.2,0.48,0.6533,0.2644,0.331,75.0,75.0,yes
BLAZE,numpy/numpy,lightning-ai/lightning,WP-large,0.44,0.72,0.7867,0.445,0.5683,75.0,75.0,yes
BLAZE,numpy/numpy,lightning-ai/lightning,CP-cold-start,0.2533,0.4933,0.6267,0.2756,0.3734,75.0,75.0,yes
BLAZE,numpy/numpy,lightning-ai/lightning,CP-transfer,0.36,0.64,0.7867,0.3799,0.4896,75.0,75.0,yes
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,WP-small,0.1087,0.2391,0.3696,0.1795,0.1896,46.0,46.0,yes
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,WP-large,0.3043,0.5217,0.5652,0.3877,0.3961,46.0,46.0,yes
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,CP-cold-start,0.1304,0.3261,0.4565,0.2243,0.2386,46.0,46.0,yes
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,CP-transfer,0.2609,0.5,0.5217,0.3446,0.3558,46.0,46.0,yes
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,WP-small,0.2267,0.48,0.6267,0.2885,0.3512,75.0,75.0,yes
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,WP-large,0.4,0.68,0.7733,0.4302,0.5293,75.0,75.0,yes
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,CP-cold-start,0.1733,0.5333,0.6933,0.2767,0.3337,75.0,75.0,yes
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,CP-transfer,0.3867,0.64,0.7867,0.3903,0.5084,75.0,75.0,yes
BLAZE,prefecthq/prefect,pydata/xarray,WP-small,0.16,0.2,0.36,0.1824,0.2257,25.0,25.0,yes
BLAZE,prefecthq/prefect,pydata/xarray,WP-large,0.32,0.68,0.76,0.4063,0.473,25.0,25.0,yes
BLAZE,prefecthq/prefect,pydata/xarray,CP-cold-start,0.2,0.48,0.56,0.3173,0.3424,25.0,25.0,yes
BLAZE,prefecthq/prefect,pydata/xarray,CP-transfer,0.28,0.56,0.76,0.3551,0.4218,25.0,25.0,yes
BLAZE,pydata/xarray,prefecthq/prefect,WP-small,0.1098,0.2805,0.3902,0.1626,0.1928,82.0,82.0,yes
BLAZE,pydata/xarray,prefecthq/prefect,WP-large,0.3293,0.5244,0.561,0.3346,0.4058,82.0,82.0,yes
BLAZE,pydata/xarray,prefecthq/prefect,CP-cold-start,0.0976,0.2805,0.3902,0.1709,0.1878,82.0,82.0,yes
BLAZE,pydata/xarray,prefecthq/prefect,CP-transfer,0.1951,0.4268,0.5366,0.2601,0.3099,82.0,82.0,yes
BLAZE,prefecthq/prefect,numpy/numpy,WP-small,0.2609,0.4969,0.5714,0.3452,0.3656,161.0,161.0,yes
BLAZE,prefecthq/prefect,numpy/numpy,WP-large,0.3168,0.5528,0.6211,0.3853,0.4209,161.0,161.0,yes
BLAZE,prefecthq/prefect,numpy/numpy,CP-cold-start,0.1739,0.3665,0.4596,0.2506,0.273,161.0,161.0,yes
BLAZE,prefecthq/prefect,numpy/numpy,CP-transfer,0.2857,0.4783,0.5714,0.3563,0.3823,161.0,161.0,yes
BLAZE,numpy/numpy,prefecthq/prefect,WP-small,0.2073,0.3415,0.4024,0.2287,0.2796,82.0,82.0,yes
BLAZE,numpy/numpy,prefecthq/prefect,WP-large,0.2683,0.5244,0.5732,0.3234,0.3762,82.0,82.0,yes
BLAZE,numpy/numpy,prefecthq/prefect,CP-cold-start,0.0488,0.2195,0.2805,0.1326,0.1366,82.0,82.0,yes
BLAZE,numpy/numpy,prefecthq/prefect,CP-transfer,0.1707,0.3902,0.4756,0.2324,0.2704,82.0,82.0,yes
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,WP-small,0.1087,0.2391,0.3261,0.1666,0.1748,46.0,46.0,yes
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,WP-large,0.3261,0.4565,0.5435,0.3603,0.3855,46.0,46.0,yes
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,CP-cold-start,0.1522,0.3261,0.4565,0.2339,0.2367,46.0,46.0,yes
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,CP-transfer,0.1739,0.4565,0.5217,0.2857,0.2895,46.0,46.0,yes
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,WP-small,0.1707,0.3537,0.4268,0.2102,0.2516,82.0,82.0,yes
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,WP-large,0.3049,0.5,0.561,0.3258,0.3848,82.0,82.0,yes
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,CP-cold-start,0.1341,0.4146,0.4878,0.2288,0.258,82.0,82.0,yes
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,CP-transfer,0.2805,0.4512,0.5122,0.3032,0.3565,82.0,82.0,yes
BLAZE,pydata/xarray,numpy/numpy,WP-small,0.2236,0.4907,0.5776,0.33,0.3477,161.0,161.0,yes
BLAZE,pydata/xarray,numpy/numpy,WP-large,0.3354,0.5652,0.6211,0.4,0.4355,161.0,161.0,yes
BLAZE,pydata/xarray,numpy/numpy,CP-cold-start,0.1739,0.3354,0.4658,0.2474,0.2634,161.0,161.0,yes
BLAZE,pydata/xarray,numpy/numpy,CP-transfer,0.3106,0.4907,0.5776,0.3622,0.3975,161.0,161.0,yes
BLAZE,numpy/numpy,pydata/xarray,WP-small,0.12,0.2,0.32,0.1695,0.1926,25.0,25.0,yes
BLAZE,numpy/numpy,pydata/xarray,WP-large,0.28,0.72,0.72,0.3967,0.4588,25.0,25.0,yes
BLAZE,numpy/numpy,pydata/xarray,CP-cold-start,0.2,0.6,0.68,0.3089,0.396,25.0,25.0,yes
BLAZE,numpy/numpy,pydata/xarray,CP-transfer,0.36,0.6,0.88,0.4105,0.5034,25.0,25.0,yes
BLAZE,pydata/xarray,scikit-learn/scikit-learn,WP-small,0.1087,0.2391,0.3261,0.1724,0.1788,46.0,46.0,yes
BLAZE,pydata/xarray,scikit-learn/scikit-learn,WP-large,0.2391,0.4783,0.5652,0.3265,0.3338,46.0,46.0,yes
BLAZE,pydata/xarray,scikit-learn/scikit-learn,CP-cold-start,0.1739,0.3261,0.3913,0.2346,0.2425,46.0,46.0,yes
BLAZE,pydata/xarray,scikit-learn/scikit-learn,CP-transfer,0.2609,0.4348,0.4348,0.3283,0.3359,46.0,46.0,yes
BLAZE,scikit-learn/scikit-learn,pydata/xarray,WP-small,0.08,0.24,0.4,0.1586,0.1829,25.0,25.0,yes
BLAZE,scikit-learn/scikit-learn,pydata/xarray,WP-large,0.36,0.64,0.76,0.4205,0.4908,25.0,25.0,yes
BLAZE,scikit-learn/scikit-learn,pydata/xarray,CP-cold-start,0.12,0.4,0.56,0.236,0.2803,25.0,25.0,yes
BLAZE,scikit-learn/scikit-learn,pydata/xarray,CP-transfer,0.2,0.52,0.76,0.2928,0.3448,25.0,25.0,yes
BLAZE,numpy/numpy,scikit-learn/scikit-learn,WP-small,0.1304,0.2609,0.3913,0.1946,0.2023,46.0,46.0,yes
BLAZE,numpy/numpy,scikit-learn/scikit-learn,WP-large,0.3043,0.5,0.5435,0.372,0.3851,46.0,46.0,yes
BLAZE,numpy/numpy,scikit-learn/scikit-learn,CP-cold-start,0.2174,0.413,0.5,0.3073,0.3111,46.0,46.0,yes
BLAZE,numpy/numpy,scikit-learn/scikit-learn,CP-transfer,0.2391,0.5,0.5217,0.3342,0.341,46.0,46.0,yes
BLAZE,scikit-learn/scikit-learn,numpy/numpy,WP-small,0.2236,0.472,0.5528,0.3223,0.3417,161.0,161.0,yes
BLAZE,scikit-learn/scikit-learn,numpy/numpy,WP-large,0.323,0.5155,0.6398,0.3878,0.4231,161.0,161.0,yes
BLAZE,scikit-learn/scikit-learn,numpy/numpy,CP-cold-start,0.2795,0.441,0.5031,0.3328,0.3543,161.0,161.0,yes
BLAZE,scikit-learn/scikit-learn,numpy/numpy,CP-transfer,0.3043,0.4845,0.5776,0.3681,0.3945,161.0,161.0,yes
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,WP-small,0.1466666666666666,0.5066666666666667,0.6,0.2497,0.3062,74.0,75.0,no
COOBA,jupyterlab/jupyterlab,pydata/xarray,WP-small,0.08,0.24,0.32,0.1454,0.1664,25.0,25.0,no
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,WP-small,0.0853658536585365,0.2439024390243902,0.3414634146341463,0.1198,0.1603,42.0,82.0,no
COOBA,jupyterlab/jupyterlab,pydata/xarray,WP-large,0.24,0.44,0.52,0.2685,0.325,25.0,25.0,no
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,WP-large,0.28,0.5866666666666667,0.68,0.3106,0.4046,74.0,75.0,no
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,WP-large,0.0853658536585365,0.2804878048780488,0.3536585365853658,0.1355,0.1778,42.0,82.0,no
COOBA,jupyterlab/jupyterlab,pydata/xarray,CP-cold-start,0.0,0.0,0.0,0.0096,0.008,25.0,25.0,no
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,CP-cold-start,0.0,0.04,0.0533333333333333,0.0343,0.0398,74.0,75.0,no
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,CP-cold-start,0.0,0.024390243902439,0.0365853658536585,0.0122,0.015,42.0,82.0,no
COOBA,jupyterlab/jupyterlab,pydata/xarray,CP-transfer,0.04,0.08,0.36,0.0901,0.1197,25.0,25.0,no
COOBA,pydata/xarray,jupyterlab/jupyterlab,WP-small,0.05,0.25,0.425,0.1357,0.1379,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,CP-transfer,0.32,0.56,0.6933333333333334,0.3238,0.4418,74.0,75.0,no
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,WP-small,0.175,0.45,0.5,0.2807,0.2932,20.0,40.0,no
COOBA,pydata/xarray,jupyterlab/jupyterlab,WP-large,0.025,0.4,0.5,0.1719,0.1729,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,CP-transfer,0.0853658536585365,0.2073170731707317,0.2926829268292683,0.1283,0.1478,42.0,82.0,no
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,WP-small,0.0,0.125,0.3,0.0785,0.0798,20.0,40.0,no
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,WP-large,0.175,0.375,0.5,0.2449,0.253,20.0,40.0,no
COOBA,pydata/xarray,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.025,0.0112,0.011,20.0,40.0,no
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,WP-large,0.125,0.475,0.475,0.2567,0.2571,20.0,40.0,no
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0138,0.0131,20.0,40.0,no
COOBA,pydata/xarray,jupyterlab/jupyterlab,CP-transfer,0.05,0.45,0.5,0.1835,0.1952,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,ipython/ipython,WP-small,0.0059171597633136,0.1005917159763313,0.1775147928994082,0.0538,0.0619,98.0,169.0,no
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0042,0.0051,20.0,40.0,no
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,CP-transfer,0.175,0.475,0.5,0.2802,0.2975,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,numpy/numpy,WP-small,0.0248447204968944,0.0807453416149068,0.1614906832298136,0.062,0.0698,69.0,161.0,no
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,CP-transfer,0.125,0.375,0.5,0.2508,0.2534,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,ipython/ipython,WP-large,0.0414201183431952,0.1301775147928994,0.2485207100591716,0.0799,0.0994,98.0,169.0,no
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-small,0.0,0.0,0.0217391304347826,0.0169,0.0156,13.0,46.0,no
COOBA,jupyterlab/jupyterlab,ipython/ipython,CP-cold-start,0.0,0.0059171597633136,0.0059171597633136,0.0053,0.0049,98.0,169.0,no
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-large,0.0,0.0652173913043478,0.1739130434782608,0.0347,0.0359,13.0,46.0,no
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0,0.0053,0.0049,13.0,46.0,no
COOBA,jupyterlab/jupyterlab,numpy/numpy,WP-large,0.0559006211180124,0.1677018633540372,0.1987577639751552,0.0969,0.1083,69.0,161.0,no
COOBA,jupyterlab/jupyterlab,ipython/ipython,CP-transfer,0.0059171597633136,0.029585798816568,0.0769230769230769,0.0349,0.0356,98.0,169.0,no
COOBA,ipython/ipython,jupyterlab/jupyterlab,WP-small,0.125,0.375,0.475,0.2231,0.2419,20.0,40.0,no
COOBA,ipython/ipython,jupyterlab/jupyterlab,WP-large,0.175,0.4,0.5,0.2572,0.2653,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,numpy/numpy,CP-cold-start,0.0,0.0062111801242236,0.0062111801242236,0.0093,0.0088,69.0,161.0,no
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-transfer,0.0,0.0652173913043478,0.0652173913043478,0.0313,0.0307,13.0,46.0,no
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-small,0.075,0.3,0.475,0.1877,0.191,20.0,40.0,no
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-large,0.1,0.35,0.5,0.2073,0.2146,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,numpy/numpy,CP-transfer,0.0186335403726708,0.0559006211180124,0.1180124223602484,0.0468,0.0515,69.0,161.0,no
COOBA,numpy/numpy,jupyterlab/jupyterlab,WP-small,0.025,0.3,0.475,0.1562,0.1615,20.0,40.0,no
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-cold-start,0.05,0.05,0.05,0.0473,0.0583,20.0,40.0,no
COOBA,numpy/numpy,jupyterlab/jupyterlab,WP-large,0.125,0.425,0.5,0.2339,0.2459,20.0,40.0,no
COOBA,ipython/ipython,jupyterlab/jupyterlab,CP-cold-start,0.0,0.05,0.05,0.0184,0.0165,20.0,40.0,no
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-transfer,0.05,0.25,0.425,0.139,0.1471,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,ansible/ansible,WP-small,0.0,0.0064935064935064,0.0129870129870129,0.0041,0.0041,15.0,154.0,no
COOBA,numpy/numpy,jupyterlab/jupyterlab,CP-cold-start,0.025,0.1,0.2,0.0654,0.0662,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,ansible/ansible,WP-large,0.0,0.0129870129870129,0.0194805194805194,0.0077,0.0077,15.0,154.0,no
COOBA,jupyterlab/jupyterlab,ansible/ansible,CP-cold-start,0.0,0.0064935064935064,0.0064935064935064,0.0019,0.0027,15.0,154.0,no
COOBA,ipython/ipython,jupyterlab/jupyterlab,CP-transfer,0.125,0.45,0.5,0.2334,0.2449,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,docker/compose,WP-small,0.2136752136752136,0.6666666666666666,0.8376068376068376,0.3435,0.4046,116.0,117.0,no
COOBA,jupyterlab/jupyterlab,ansible/ansible,CP-transfer,0.0,0.0129870129870129,0.0194805194805194,0.0073,0.0074,15.0,154.0,no
COOBA,ansible/ansible,jupyterlab/jupyterlab,WP-small,0.05,0.3,0.475,0.1682,0.1698,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,docker/compose,WP-large,0.282051282051282,0.7264957264957265,0.8717948717948718,0.4138,0.468,116.0,117.0,no
COOBA,ansible/ansible,jupyterlab/jupyterlab,WP-large,0.05,0.4,0.5,0.1741,0.1844,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,docker/compose,CP-cold-start,0.0085470085470085,0.0256410256410256,0.0256410256410256,0.017,0.0211,116.0,117.0,no
COOBA,jupyterlab/jupyterlab,docker/compose,CP-transfer,0.2649572649572649,0.7350427350427351,0.8205128205128205,0.3957,0.4569,116.0,117.0,no
COOBA,numpy/numpy,jupyterlab/jupyterlab,CP-transfer,0.025,0.275,0.5,0.1345,0.1351,20.0,40.0,no
COOBA,docker/compose,jupyterlab/jupyterlab,WP-small,0.05,0.2,0.475,0.15,0.1549,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,WP-small,0.0582010582010582,0.1587301587301587,0.1851851851851851,0.092,0.0994,47.0,189.0,no
COOBA,docker/compose,jupyterlab/jupyterlab,WP-large,0.15,0.475,0.475,0.2465,0.2547,20.0,40.0,no
COOBA,ansible/ansible,jupyterlab/jupyterlab,CP-cold-start,0.025,0.1,0.15,0.044,0.0573,20.0,40.0,no
COOBA,docker/compose,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.005,0.0066,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,WP-large,0.0423280423280423,0.1322751322751322,0.2063492063492063,0.0844,0.0895,47.0,189.0,no
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,CP-cold-start,0.0,0.0,0.0,0.0013,0.001,47.0,189.0,no
COOBA,docker/compose,jupyterlab/jupyterlab,CP-transfer,0.05,0.4,0.5,0.1755,0.1922,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,CP-transfer,0.0264550264550264,0.1164021164021164,0.1904761904761904,0.068,0.0703,47.0,189.0,no
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,WP-small,0.0588235294117647,0.1801470588235294,0.2463235294117647,0.0961,0.1172,119.0,272.0,no
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,WP-small,0.15,0.375,0.5,0.2383,0.2424,20.0,40.0,no
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,WP-large,0.075,0.2,0.425,0.1308,0.143,20.0,40.0,no
COOBA,ansible/ansible,jupyterlab/jupyterlab,CP-transfer,0.025,0.075,0.3,0.0817,0.0893,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,WP-small,0.0,0.024390243902439,0.0853658536585365,0.0161,0.0162,13.0,82.0,no
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,WP-large,0.0609756097560975,0.0975609756097561,0.1097560975609756,0.0641,0.0771,13.0,82.0,no
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,CP-cold-start,0.0,0.0,0.0365853658536585,0.0066,0.0075,13.0,82.0,no
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,CP-transfer,0.0,0.073170731707317,0.0975609756097561,0.0264,0.0322,13.0,82.0,no
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.025,0.0109,0.0109,20.0,40.0,no
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,WP-small,0.0,0.175,0.45,0.1144,0.112,20.0,40.0,no
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,WP-large,0.15,0.4,0.475,0.2404,0.2515,20.0,40.0,no
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,WP-large,0.088235294117647,0.2095588235294117,0.25,0.1103,0.1408,119.0,272.0,no
