model_name,source_project,target_project,MRR,MAP,top-1,top-10,tgt_LoC,tgt_n_bugs,src_LoC,src_n_bugs,viable,mrr_wps,delta_vs_wps,tgt_LoC_q,src_n_bugs_q
COOBA,pydata/xarray,jupyterlab/jupyterlab,0.011,0.0112,0.0,0.025,39372,197,142044,110,False,0.1379,-0.12689999999999999,"Q1
(smallest)",Q1
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,0.0131,0.0138,0.0,0.0,39372,197,51387,366,False,0.2932,-0.2801,"Q1
(smallest)",Q2
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,0.0051,0.0042,0.0,0.0,39372,197,107073,404,False,0.0798,-0.07469999999999999,"Q1
(smallest)",Q2
COOBA,jupyterlab/jupyterlab,ipython/ipython,0.0049,0.0053,0.0,0.0059171597633136,77778,832,39372,197,False,0.0619,-0.056999999999999995,Q2,Q1
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.0049,0.0053,0.0,0.0,376169,228,39372,197,False,0.0156,-0.0107,"Q4
(largest)",Q1
COOBA,jupyterlab/jupyterlab,numpy/numpy,0.0088,0.0093,0.0,0.0062111801242236,276548,789,39372,197,False,0.0698,-0.061,Q3,Q1
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.0583,0.0473,0.05,0.05,39372,197,376169,228,False,0.191,-0.1327,"Q1
(smallest)",Q2
COOBA,ipython/ipython,jupyterlab/jupyterlab,0.0165,0.0184,0.0,0.05,39372,197,77778,832,False,0.2419,-0.2254,"Q1
(smallest)",Q4
COOBA,numpy/numpy,jupyterlab/jupyterlab,0.0662,0.0654,0.025,0.2,39372,197,276548,789,False,0.1615,-0.09530000000000001,"Q1
(smallest)",Q4
COOBA,jupyterlab/jupyterlab,ansible/ansible,0.0027,0.0019,0.0,0.0064935064935064,348229,768,39372,197,False,0.0041,-0.0014000000000000002,"Q4
(largest)",Q1
COOBA,jupyterlab/jupyterlab,docker/compose,0.0211,0.017,0.0085470085470085,0.0256410256410256,34586,572,39372,197,False,0.4046,-0.3835,"Q1
(smallest)",Q1
COOBA,ansible/ansible,jupyterlab/jupyterlab,0.0573,0.044,0.025,0.15,39372,197,348229,768,False,0.1698,-0.11250000000000002,"Q1
(smallest)",Q3
COOBA,docker/compose,jupyterlab/jupyterlab,0.0066,0.005,0.0,0.0,39372,197,34586,572,False,0.1549,-0.14830000000000002,"Q1
(smallest)",Q3
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,0.001,0.0013,0.0,0.0,121402,937,39372,197,False,0.0994,-0.0984,Q2,Q1
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,0.0075,0.0066,0.0,0.0365853658536585,285999,404,39372,197,False,0.0162,-0.0087,Q3,Q1
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,0.0109,0.0109,0.0,0.025,39372,197,121402,937,False,0.2424,-0.2315,"Q1
(smallest)",Q4
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,0.1342,0.1238,0.05,0.45,39372,197,285999,404,False,0.112,0.02220000000000001,"Q1
(smallest)",Q2
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,0.0238,0.0219,0.0073529411764705,0.0588235294117647,435173,1336,39372,197,False,0.1172,-0.0934,"Q4
(largest)",Q1
COOBA,lightning-ai/lightning,pydata/xarray,0.0279,0.0241,0.0,0.08,142044,110,51387,366,False,0.0857,-0.0578,Q3,Q2
COOBA,jupyterlab/jupyterlab,localstack/localstack,0.029,0.0259,0.0,0.0421052631578947,571611,472,39372,197,False,0.1414,-0.1124,"Q4
(largest)",Q1
COOBA,pydata/xarray,lightning-ai/lightning,0.0379,0.0318,0.0,0.0933333333333333,51387,366,142044,110,False,0.1504,-0.1125,"Q1
(smallest)",Q1
COOBA,localstack/localstack,jupyterlab/jupyterlab,0.0415,0.0394,0.025,0.075,39372,197,571611,472,False,0.2072,-0.1657,"Q1
(smallest)",Q3
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,0.002,0.0021,0.0,0.0,39372,197,435173,1336,False,0.1774,-0.1754,"Q1
(smallest)",Q4
COOBA,lightning-ai/lightning,ipython/ipython,0.0039,0.0041,0.0,0.0,77778,832,51387,366,False,0.0343,-0.030399999999999996,Q2,Q2
COOBA,lightning-ai/lightning,prefecthq/prefect,0.0053,0.0084,0.0,0.0,107073,404,51387,366,False,0.187,-0.1817,Q2,Q2
COOBA,prefecthq/prefect,lightning-ai/lightning,0.0459,0.0389,0.0,0.0933333333333333,51387,366,107073,404,False,0.3609,-0.315,"Q1
(smallest)",Q2
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,0.0608,0.051,0.0434782608695652,0.108695652173913,376169,228,51387,366,False,0.0446,0.0162,"Q4
(largest)",Q2
COOBA,lightning-ai/lightning,numpy/numpy,0.002,0.0027,0.0,0.0,276548,789,51387,366,False,0.0581,-0.0561,Q3,Q2
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,0.0224,0.018,0.0133333333333333,0.0133333333333333,51387,366,376169,228,False,0.4014,-0.379,"Q1
(smallest)",Q2
COOBA,numpy/numpy,lightning-ai/lightning,0.0771,0.0747,0.0266666666666666,0.1066666666666666,51387,366,276548,789,False,0.3262,-0.2491,"Q1
(smallest)",Q4
COOBA,lightning-ai/lightning,ansible/ansible,0.0024,0.0024,0.0,0.0064935064935064,348229,768,51387,366,False,0.0061,-0.0037000000000000006,"Q4
(largest)",Q2
COOBA,ansible/ansible,lightning-ai/lightning,0.0516,0.0463,0.0133333333333333,0.1466666666666666,51387,366,348229,768,False,0.2252,-0.1736,"Q1
(smallest)",Q3
