model_name,source_project,target_project,MRR,MAP,top-1,top-10,tgt_LoC,tgt_n_bugs,src_LoC,src_n_bugs,viable,mrr_wps,delta_vs_wps,tgt_LoC_q,src_n_bugs_q
TRANP-CNN,prefecthq/prefect,scikit-learn/scikit-learn,0.0076,0.0067,0.0,0.0,376169,228,107073,404,False,0.0583,-0.050699999999999995,"Q4
(largest)",Q2
TRANP-CNN,qiskit/qiskit,jupyterlab/jupyterlab,0.1506,0.1507,0.075,0.35,39372,197,435173,1336,False,0.3058,-0.1552,"Q1
(smallest)",Q4
TRANP-CNN,ansible/ansible,lightning-ai/lightning,0.0118,0.0146,0.0,0.0,51387,366,348229,768,False,0.3541,-0.34230000000000005,"Q1
(smallest)",Q3
TRANP-CNN,scikit-learn/scikit-learn,prefecthq/prefect,0.0994,0.078,0.0122,0.2927,107073,404,376169,228,False,0.1682,-0.06879999999999999,Q2,Q2
TRANP-CNN,prefecthq/prefect,ansible/ansible,0.0018,0.0019,0.0,0.0,348229,768,107073,404,False,0.0115,-0.0097,"Q4
(largest)",Q2
TRANP-CNN,lightning-ai/lightning,wagtail/wagtail,0.0191,0.016,0.0,0.061,285999,404,51387,366,False,0.0678,-0.0487,Q3,Q2
TRANP-CNN,lightning-ai/lightning,numpy/numpy,0.0025,0.0031,0.0,0.0,276548,789,51387,366,False,0.0828,-0.0803,Q3,Q2
TRANP-CNN,prefecthq/prefect,numpy/numpy,0.0301,0.0278,0.0,0.087,276548,789,107073,404,False,0.0851,-0.05499999999999999,Q3,Q2
TRANP-CNN,numpy/numpy,lightning-ai/lightning,0.0646,0.0586,0.0,0.16,51387,366,276548,789,False,0.3864,-0.32180000000000003,"Q1
(smallest)",Q4
TRANP-CNN,ansible/ansible,prefecthq/prefect,0.0722,0.0473,0.0366,0.1707,107073,404,348229,768,False,0.1814,-0.1092,Q2,Q3
TRANP-CNN,numpy/numpy,prefecthq/prefect,0.0245,0.017,0.0,0.0732,107073,404,276548,789,False,0.1429,-0.1184,Q2,Q4
TRANP-CNN,lightning-ai/lightning,localstack/localstack,0.0155,0.0118,0.0,0.0211,571611,472,51387,366,False,0.114,-0.0985,"Q4
(largest)",Q2
TRANP-CNN,prefecthq/prefect,wagtail/wagtail,0.0006,0.0008,0.0,0.0,285999,404,107073,404,False,0.0318,-0.031200000000000002,Q3,Q2
TRANP-CNN,localstack/localstack,lightning-ai/lightning,0.089,0.0654,0.0267,0.2133,51387,366,571611,472,False,0.3769,-0.28790000000000004,"Q1
(smallest)",Q3
TRANP-CNN,pydata/xarray,scikit-learn/scikit-learn,0.0015,0.0016,0.0,0.0,376169,228,142044,110,False,0.0424,-0.0409,"Q4
(largest)",Q1
TRANP-CNN,scikit-learn/scikit-learn,pydata/xarray,0.0535,0.0421,0.0,0.2,142044,110,376169,228,False,0.139,-0.08550000000000002,Q3,Q2
TRANP-CNN,prefecthq/prefect,mesonbuild/meson,0.0808,0.0693,0.0423,0.1693,121402,937,107073,404,False,0.1183,-0.037500000000000006,Q2,Q2
TRANP-CNN,prefecthq/prefect,pydata/xarray,0.0063,0.0077,0.0,0.0,142044,110,107073,404,False,0.1223,-0.116,Q3,Q2
TRANP-CNN,pydata/xarray,prefecthq/prefect,0.0843,0.0681,0.0244,0.2561,107073,404,142044,110,False,0.133,-0.04870000000000001,Q2,Q1
TRANP-CNN,pydata/xarray,numpy/numpy,0.0226,0.018,0.0062,0.0373,276548,789,142044,110,False,0.0881,-0.0655,Q3,Q1
TRANP-CNN,numpy/numpy,qiskit/qiskit,0.0405,0.0281,0.0037,0.1287,435173,1336,276548,789,False,0.1228,-0.08230000000000001,"Q4
(largest)",Q4
TRANP-CNN,numpy/numpy,pydata/xarray,0.1671,0.1062,0.08,0.32,142044,110,276548,789,False,0.2294,-0.062299999999999994,Q3,Q4
TRANP-CNN,numpy/numpy,mesonbuild/meson,0.0292,0.0272,0.0053,0.0899,121402,937,276548,789,False,0.1083,-0.07909999999999999,Q2,Q4
TRANP-CNN,qiskit/qiskit,numpy/numpy,0.0393,0.0314,0.0124,0.0932,276548,789,435173,1336,False,0.1034,-0.0641,Q3,Q4
TRANP-CNN,numpy/numpy,scikit-learn/scikit-learn,0.0011,0.0012,0.0,0.0,376169,228,276548,789,False,0.0594,-0.058300000000000005,"Q4
(largest)",Q4
TRANP-CNN,numpy/numpy,localstack/localstack,0.0363,0.027,0.0,0.1053,571611,472,276548,789,False,0.1359,-0.0996,"Q4
(largest)",Q4
TRANP-CNN,wagtail/wagtail,docker/compose,0.0491,0.0397,0.0085,0.1368,34586,572,285999,404,False,0.4704,-0.4213,"Q1
(smallest)",Q2
TRANP-CNN,localstack/localstack,numpy/numpy,0.0026,0.0032,0.0,0.0,276548,789,571611,472,False,0.0895,-0.08689999999999999,Q3,Q3
TRANP-CNN,ipython/ipython,docker/compose,0.008,0.0109,0.0,0.0,34586,572,77778,832,False,0.4805,-0.4725,"Q1
(smallest)",Q4
TRANP-CNN,docker/compose,ipython/ipython,0.0055,0.0059,0.0,0.0,77778,832,34586,572,False,0.0645,-0.059000000000000004,Q2,Q3
TRANP-CNN,ipython/ipython,qiskit/qiskit,0.0324,0.0317,0.0037,0.0919,435173,1336,77778,832,False,0.1217,-0.0893,"Q4
(largest)",Q4
BLAZE,ipython/ipython,qiskit/qiskit,0.1712,0.1475,0.114,0.3235,435173,1336,77778,832,False,0.2695,-0.09830000000000003,"Q4
(largest)",Q4
BLAZE,scikit-learn/scikit-learn,numpy/numpy,0.3543,0.3328,0.2795,0.5031,276548,789,376169,228,True,0.3417,0.0126,Q3,Q2
COOBA,scikit-learn/scikit-learn,numpy/numpy,0.0026,0.0026,0.0,0.0062111801242236,276548,789,376169,228,False,0.0787,-0.0761,Q3,Q2
TRANP-CNN,scikit-learn/scikit-learn,numpy/numpy,0.0199,0.0151,0.0062,0.0311,276548,789,376169,228,False,0.0936,-0.0737,Q3,Q2
