model,comparison,metric,n_pairs,mean_delta,median_delta,std_delta,cohens_d,win_rate,n_wins,n_losses,median_win,median_loss,wilcoxon_p_gt
BLAZE,CPT vs WPS,MRR,63,0.13662063492063495,0.1184,0.11468955032795745,1.1912212972320935,0.9047619047619048,57,6,0.13369999999999999,-0.004899999999999988,1.2365697172145752e-11
BLAZE,CPT vs WPS,MAP,63,0.11160634920634924,0.08109999999999998,0.09527627716958427,1.1713970415500043,0.9365079365079365,59,4,0.09189999999999998,-0.005699999999999983,5.555019794478155e-12
BLAZE,CPT vs WPS,top-1,63,0.1107936507936508,0.1,0.09819343298621361,1.1283203715792915,0.8253968253968254,52,6,0.12349999999999998,-0.016649999999999998,8.96936190877913e-11
BLAZE,CPT vs WPS,top-5,63,0.1783047619047619,0.14999999999999997,0.15904724336535928,1.1210804923865594,0.9047619047619048,57,4,0.1733,-0.015000000000000013,1.6713238231523363e-11
BLAZE,CPT vs WPS,top-10,63,0.18093015873015877,0.11040000000000005,0.17652282556867424,1.024967497247374,0.8888888888888888,56,4,0.14630000000000004,-0.04810000000000006,3.735268613791662e-11
BLAZE,CPT vs WPL,MRR,63,-0.07905873015873016,-0.0716,0.06111565090431639,-1.2935922139241507,0.047619047619047616,3,60,0.023599999999999954,-0.0774,0.999999999990664
BLAZE,CPT vs WPL,MAP,63,-0.06950317460317461,-0.06769999999999998,0.05085443479330432,-1.3667082307701834,0.047619047619047616,3,60,0.008699999999999986,-0.07019999999999996,0.9999999999922656
BLAZE,CPT vs WPL,top-1,63,-0.07594285714285715,-0.07499999999999996,0.069454005932647,-1.0934265939462542,0.09523809523809523,6,54,0.034850000000000006,-0.087,0.9999999997566399
BLAZE,CPT vs WPL,top-5,63,-0.08113809523809523,-0.07309999999999994,0.07086333605125689,-1.144994009023318,0.06349206349206349,4,57,0.025499999999999967,-0.07789999999999997,0.9999999999807904
BLAZE,CPT vs WPL,top-10,63,-0.078315873015873,-0.06659999999999999,0.07253090821994042,-1.0797586151601803,0.09523809523809523,6,55,0.026699999999999946,-0.07999999999999996,0.9999999999212019
BLAZE,CPC vs WPS,MRR,63,0.006420634920634921,-0.03759999999999997,0.13485820888183328,0.04761026394960406,0.42857142857142855,27,36,0.14830000000000002,-0.09805,0.4727093160274079
BLAZE,CPC vs WPS,MAP,63,0.003571428571428567,-0.03159999999999996,0.11295941239191301,0.031616918818924845,0.4603174603174603,29,34,0.11499999999999999,-0.08959999999999999,0.5354587879667391
BLAZE,CPC vs WPS,top-1,63,-0.002093650793650794,-0.03730000000000003,0.10149673580166121,-0.020627764795727813,0.4126984126984127,26,36,0.1,-0.0736,0.6530840394780776
BLAZE,CPC vs WPS,top-5,63,0.010665079365079363,-0.058199999999999974,0.1895468051472402,0.056266204839457545,0.4126984126984127,26,37,0.2,-0.1164,0.4672619462954304
BLAZE,CPC vs WPS,top-10,63,0.02535396825396826,-0.03700000000000003,0.22644551279779657,0.1119649841620309,0.4126984126984127,26,36,0.26249999999999996,-0.15104999999999996,0.30381398095052503
BLAZE,WPL vs WPS,MRR,63,0.2156793650793651,0.20070000000000005,0.12502388179442045,1.7251053317478295,1.0,63,0,0.20070000000000005,,2.58419740681613e-12
BLAZE,WPL vs WPS,MAP,63,0.18110952380952383,0.17609999999999998,0.09924405517953841,1.8248904025725865,1.0,63,0,0.17609999999999998,,2.5838296535317366e-12
BLAZE,WPL vs WPS,top-1,63,0.18673650793650798,0.2,0.1066787751383946,1.7504560555204567,0.9682539682539683,61,2,0.21340000000000003,-0.012400000000000022,3.274043423232363e-12
BLAZE,WPL vs WPS,top-5,63,0.25944285714285714,0.2133,0.16401966415773062,1.58177898043592,1.0,63,0,0.2133,,2.5808893572013516e-12
BLAZE,WPL vs WPS,top-10,63,0.2592460317460318,0.19510000000000005,0.19503774640905172,1.3292095326117865,1.0,63,0,0.19510000000000005,,2.5819916080055296e-12
COOBA,CPT vs WPS,MRR,63,0.017731899023864958,0.0033348938839902,0.0652564968152034,0.27172618649877933,0.6031746031746031,38,25,0.03166858822741904,-0.02163758578794961,0.034298587910116786
