model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR,MAP_uncorrected,MRR_uncorrected,n_reachable,n_test,denominator_corrected
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,WP-small,0.1733,0.4267,0.5867,0.2503,0.3141,0.2503,0.3141,75,75,yes
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,WP-large,0.4133,0.6667,0.7333,0.4173,0.5311,0.4173,0.5311,75,75,yes
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,CP-cold-start,0.12,0.3333,0.48,0.1716,0.2232,0.1716,0.2232,75,75,yes
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,CP-transfer,0.32,0.6533,0.76,0.3599,0.4706,0.3599,0.4706,75,75,yes
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,WP-small,0.05,0.225,0.3,0.1254,0.1484,0.132,0.1562,38,40,yes
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,WP-large,0.325,0.575,0.7,0.3621,0.4603,0.3812,0.4846,38,40,yes
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,CP-cold-start,0.075,0.325,0.475,0.1353,0.2091,0.1424,0.2201,38,40,yes
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,CP-transfer,0.25,0.525,0.6,0.2795,0.3739,0.2942,0.3936,38,40,yes
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,WP-small,0.1463,0.3293,0.5366,0.1964,0.2554,0.1964,0.2554,82,82,yes
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,WP-large,0.3415,0.6829,0.8049,0.4001,0.4956,0.4001,0.4956,82,82,yes
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,CP-cold-start,0.061,0.1829,0.3415,0.1058,0.1389,0.1058,0.1389,82,82,yes
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,CP-transfer,0.2683,0.5976,0.6585,0.3228,0.4082,0.3228,0.4082,82,82,yes
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,WP-small,0.125,0.225,0.35,0.1335,0.1761,0.1405,0.1853,38,40,yes
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,WP-large,0.35,0.6,0.675,0.3639,0.4625,0.383,0.4869,38,40,yes
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,CP-cold-start,0.225,0.5,0.65,0.2727,0.3419,0.2871,0.3599,38,40,yes
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,CP-transfer,0.375,0.525,0.65,0.3635,0.4534,0.3826,0.4773,38,40,yes
BLAZE,jupyterlab/jupyterlab,pydata/xarray,WP-small,0.04,0.16,0.24,0.1105,0.1168,0.1105,0.1168,25,25,yes
BLAZE,jupyterlab/jupyterlab,pydata/xarray,WP-large,0.36,0.72,0.84,0.4607,0.5134,0.4607,0.5134,25,25,yes
BLAZE,jupyterlab/jupyterlab,pydata/xarray,CP-cold-start,0.12,0.24,0.44,0.1569,0.2108,0.1569,0.2108,25,25,yes
BLAZE,jupyterlab/jupyterlab,pydata/xarray,CP-transfer,0.2,0.64,0.72,0.3067,0.3699,0.3067,0.3699,25,25,yes
BLAZE,pydata/xarray,jupyterlab/jupyterlab,WP-small,0.1,0.225,0.35,0.1273,0.16,0.1339,0.1684,38,40,yes
BLAZE,pydata/xarray,jupyterlab/jupyterlab,WP-large,0.375,0.5,0.65,0.3514,0.4524,0.3699,0.4762,38,40,yes
BLAZE,pydata/xarray,jupyterlab/jupyterlab,CP-cold-start,0.275,0.475,0.6,0.3002,0.3755,0.316,0.3953,38,40,yes
BLAZE,pydata/xarray,jupyterlab/jupyterlab,CP-transfer,0.175,0.375,0.45,0.1926,0.2805,0.2027,0.2953,38,40,yes
BLAZE,jupyterlab/jupyterlab,numpy/numpy,WP-small,0.2733,0.5093,0.6211,0.3438,0.3884,0.3438,0.3884,161,161,yes
BLAZE,jupyterlab/jupyterlab,numpy/numpy,WP-large,0.3789,0.5714,0.6584,0.4089,0.4681,0.4089,0.4681,161,161,yes
BLAZE,jupyterlab/jupyterlab,numpy/numpy,CP-cold-start,0.1615,0.3789,0.4845,0.2525,0.2765,0.2525,0.2765,161,161,yes
BLAZE,jupyterlab/jupyterlab,numpy/numpy,CP-transfer,0.2733,0.5093,0.5963,0.3375,0.388,0.3375,0.388,161,161,yes
BLAZE,numpy/numpy,jupyterlab/jupyterlab,WP-small,0.0,0.025,0.025,0.0217,0.0219,0.0228,0.023,38,40,yes
BLAZE,numpy/numpy,jupyterlab/jupyterlab,WP-large,0.35,0.575,0.75,0.3519,0.4724,0.3704,0.4973,38,40,yes
BLAZE,numpy/numpy,jupyterlab/jupyterlab,CP-cold-start,0.175,0.45,0.575,0.2514,0.3013,0.2646,0.3171,38,40,yes
BLAZE,numpy/numpy,jupyterlab/jupyterlab,CP-transfer,0.275,0.425,0.5,0.3042,0.3555,0.3202,0.3742,38,40,yes
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-small,0.1087,0.3478,0.413,0.2329,0.2365,0.2329,0.2365,46,46,yes
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-large,0.3261,0.7174,0.7826,0.4744,0.5102,0.4744,0.5102,46,46,yes
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-cold-start,0.0652,0.1739,0.2609,0.1413,0.1413,0.1413,0.1413,46,46,yes
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-transfer,0.2609,0.5217,0.6522,0.356,0.3798,0.356,0.3798,46,46,yes
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-small,0.1,0.275,0.35,0.1441,0.1905,0.1517,0.2005,38,40,yes
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-large,0.4,0.65,0.7,0.3915,0.5133,0.4121,0.5403,38,40,yes
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-cold-start,0.075,0.175,0.2,0.1089,0.1364,0.1146,0.1436,38,40,yes
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-transfer,0.125,0.325,0.45,0.1877,0.2314,0.1976,0.2436,38,40,yes
BLAZE,lightning-ai/lightning,prefecthq/prefect,WP-small,0.1098,0.3659,0.4878,0.1837,0.2303,0.1837,0.2303,82,82,yes
BLAZE,lightning-ai/lightning,prefecthq/prefect,WP-large,0.3902,0.622,0.7073,0.4045,0.5154,0.4045,0.5154,82,82,yes
BLAZE,lightning-ai/lightning,prefecthq/prefect,CP-cold-start,0.122,0.3171,0.4024,0.1745,0.227,0.1745,0.227,82,82,yes
BLAZE,lightning-ai/lightning,prefecthq/prefect,CP-transfer,0.2805,0.5,0.5854,0.3134,0.3811,0.3134,0.3811,82,82,yes
BLAZE,prefecthq/prefect,lightning-ai/lightning,WP-small,0.1867,0.4533,0.5867,0.2478,0.3217,0.2478,0.3217,75,75,yes
BLAZE,prefecthq/prefect,lightning-ai/lightning,WP-large,0.4133,0.68,0.76,0.4267,0.5423,0.4267,0.5423,75,75,yes
