model_name,source_project,target_project,scenario,top-1,top-5,top-10,MAP,MRR,MAP_uncorrected,MRR_uncorrected,n_reachable,n_test,denominator_corrected
BLAZE,prefecthq/prefect,lightning-ai/lightning,CP-cold-start,0.32,0.6533,0.76,0.3468,0.4723,0.3468,0.4723,75,75,yes
BLAZE,prefecthq/prefect,lightning-ai/lightning,CP-transfer,0.3333,0.7067,0.8267,0.3994,0.4956,0.3994,0.4956,75,75,yes
BLAZE,lightning-ai/lightning,pydata/xarray,WP-small,0.08,0.2,0.28,0.132,0.1609,0.132,0.1609,25,25,yes
BLAZE,lightning-ai/lightning,pydata/xarray,WP-large,0.32,0.72,0.84,0.4214,0.4827,0.4214,0.4827,25,25,yes
BLAZE,lightning-ai/lightning,pydata/xarray,CP-cold-start,0.12,0.4,0.56,0.247,0.2782,0.247,0.2782,25,25,yes
BLAZE,lightning-ai/lightning,pydata/xarray,CP-transfer,0.28,0.52,0.72,0.4035,0.4248,0.4035,0.4248,25,25,yes
BLAZE,pydata/xarray,lightning-ai/lightning,WP-small,0.12,0.44,0.5733,0.2112,0.2676,0.2112,0.2676,75,75,yes
BLAZE,pydata/xarray,lightning-ai/lightning,WP-large,0.4267,0.64,0.7733,0.4342,0.5361,0.4342,0.5361,75,75,yes
BLAZE,pydata/xarray,lightning-ai/lightning,CP-cold-start,0.2667,0.5333,0.68,0.3265,0.4021,0.3265,0.4021,75,75,yes
BLAZE,pydata/xarray,lightning-ai/lightning,CP-transfer,0.32,0.6533,0.7867,0.3795,0.4747,0.3795,0.4747,75,75,yes
BLAZE,lightning-ai/lightning,numpy/numpy,WP-small,0.2422,0.5217,0.5901,0.3237,0.3597,0.3237,0.3597,161,161,yes
BLAZE,lightning-ai/lightning,numpy/numpy,WP-large,0.3416,0.6025,0.6894,0.4074,0.4534,0.4074,0.4534,161,161,yes
BLAZE,lightning-ai/lightning,numpy/numpy,CP-cold-start,0.1863,0.4224,0.528,0.2687,0.3003,0.2687,0.3003,161,161,yes
BLAZE,lightning-ai/lightning,numpy/numpy,CP-transfer,0.2981,0.5466,0.6273,0.3623,0.4062,0.3623,0.4062,161,161,yes
BLAZE,numpy/numpy,lightning-ai/lightning,WP-small,0.24,0.44,0.6133,0.264,0.3531,0.264,0.3531,75,75,yes
BLAZE,numpy/numpy,lightning-ai/lightning,WP-large,0.44,0.6533,0.7467,0.4402,0.5428,0.4402,0.5428,75,75,yes
BLAZE,numpy/numpy,lightning-ai/lightning,CP-cold-start,0.1867,0.4533,0.64,0.2681,0.3318,0.2681,0.3318,75,75,yes
BLAZE,numpy/numpy,lightning-ai/lightning,CP-transfer,0.32,0.64,0.7067,0.3559,0.4562,0.3559,0.4562,75,75,yes
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,WP-small,0.1087,0.2826,0.413,0.2096,0.2161,0.2096,0.2161,46,46,yes
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,WP-large,0.2826,0.6739,0.7826,0.4352,0.464,0.4352,0.464,46,46,yes
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,CP-cold-start,0.2609,0.5217,0.6522,0.3695,0.3922,0.3695,0.3922,46,46,yes
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,CP-transfer,0.3696,0.6304,0.7826,0.4718,0.4991,0.4718,0.4991,46,46,yes
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,WP-small,0.2133,0.4667,0.6267,0.2751,0.343,0.2751,0.343,75,75,yes
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,WP-large,0.4267,0.6667,0.76,0.4277,0.5418,0.4277,0.5418,75,75,yes
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,CP-cold-start,0.2267,0.52,0.7067,0.2783,0.3682,0.2783,0.3682,75,75,yes
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,CP-transfer,0.4133,0.7067,0.7867,0.4364,0.5416,0.4364,0.5416,75,75,yes
BLAZE,prefecthq/prefect,pydata/xarray,WP-small,0.08,0.16,0.2,0.1199,0.143,0.1199,0.143,25,25,yes
BLAZE,prefecthq/prefect,pydata/xarray,WP-large,0.32,0.72,0.84,0.442,0.4908,0.442,0.4908,25,25,yes
BLAZE,prefecthq/prefect,pydata/xarray,CP-cold-start,0.2,0.36,0.52,0.2373,0.2913,0.2373,0.2913,25,25,yes
BLAZE,prefecthq/prefect,pydata/xarray,CP-transfer,0.2,0.6,0.76,0.3268,0.3781,0.3268,0.3781,25,25,yes
BLAZE,pydata/xarray,prefecthq/prefect,WP-small,0.0854,0.3049,0.439,0.1603,0.1998,0.1603,0.1998,82,82,yes
BLAZE,pydata/xarray,prefecthq/prefect,WP-large,0.3293,0.6463,0.7439,0.3729,0.465,0.3729,0.465,82,82,yes
BLAZE,pydata/xarray,prefecthq/prefect,CP-cold-start,0.122,0.4634,0.6585,0.2191,0.2828,0.2191,0.2828,82,82,yes
BLAZE,pydata/xarray,prefecthq/prefect,CP-transfer,0.3293,0.5732,0.6463,0.3554,0.4516,0.3554,0.4516,82,82,yes
BLAZE,prefecthq/prefect,numpy/numpy,WP-small,0.323,0.5342,0.6335,0.3664,0.4174,0.3664,0.4174,161,161,yes
BLAZE,prefecthq/prefect,numpy/numpy,WP-large,0.3106,0.5839,0.6832,0.3863,0.439,0.3863,0.439,161,161,yes
BLAZE,prefecthq/prefect,numpy/numpy,CP-cold-start,0.1863,0.3975,0.528,0.2485,0.2837,0.2485,0.2837,161,161,yes
BLAZE,prefecthq/prefect,numpy/numpy,CP-transfer,0.2919,0.5466,0.6335,0.3622,0.4124,0.3622,0.4124,161,161,yes
BLAZE,numpy/numpy,prefecthq/prefect,WP-small,0.1463,0.4878,0.5854,0.22,0.2905,0.22,0.2905,82,82,yes
BLAZE,numpy/numpy,prefecthq/prefect,WP-large,0.3659,0.6341,0.7195,0.4082,0.4907,0.4082,0.4907,82,82,yes
BLAZE,numpy/numpy,prefecthq/prefect,CP-cold-start,0.0976,0.2195,0.378,0.1348,0.1704,0.1348,0.1704,82,82,yes
BLAZE,numpy/numpy,prefecthq/prefect,CP-transfer,0.2683,0.5488,0.6707,0.2991,0.3943,0.2991,0.3943,82,82,yes
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,WP-small,0.0217,0.1739,0.2609,0.11,0.1121,0.11,0.1121,46,46,yes
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,WP-large,0.3913,0.7391,0.8261,0.5023,0.5394,0.5023,0.5394,46,46,yes
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,CP-cold-start,0.2609,0.5435,0.587,0.3755,0.3967,0.3755,0.3967,46,46,yes
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,CP-transfer,0.3696,0.6957,0.7174,0.4779,0.5048,0.4779,0.5048,46,46,yes
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,WP-small,0.1829,0.439,0.5488,0.2309,0.3059,0.2309,0.3059,82,82,yes
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,WP-large,0.4024,0.622,0.7439,0.407,0.5145,0.407,0.5145,82,82,yes
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,CP-cold-start,0.2195,0.4634,0.6098,0.2678,0.3467,0.2678,0.3467,82,82,yes
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,CP-transfer,0.3293,0.6463,0.6951,0.3774,0.4729,0.3774,0.4729,82,82,yes
BLAZE,pydata/xarray,numpy/numpy,WP-small,0.2795,0.5155,0.6087,0.3479,0.3838,0.3479,0.3838,161,161,yes
BLAZE,pydata/xarray,numpy/numpy,WP-large,0.2857,0.5963,0.6708,0.3772,0.4218,0.3772,0.4218,161,161,yes
BLAZE,pydata/xarray,numpy/numpy,CP-cold-start,0.2422,0.4534,0.5031,0.3163,0.3462,0.3163,0.3462,161,161,yes
BLAZE,pydata/xarray,numpy/numpy,CP-transfer,0.2981,0.5155,0.6398,0.3589,0.4028,0.3589,0.4028,161,161,yes
BLAZE,numpy/numpy,pydata/xarray,WP-small,0.08,0.24,0.32,0.1591,0.187,0.1591,0.187,25,25,yes
BLAZE,numpy/numpy,pydata/xarray,WP-large,0.32,0.72,0.84,0.4286,0.4787,0.4286,0.4787,25,25,yes
BLAZE,numpy/numpy,pydata/xarray,CP-cold-start,0.16,0.4,0.64,0.2446,0.293,0.2446,0.293,25,25,yes
BLAZE,numpy/numpy,pydata/xarray,CP-transfer,0.36,0.72,0.8,0.4143,0.5023,0.4143,0.5023,25,25,yes
BLAZE,pydata/xarray,scikit-learn/scikit-learn,WP-small,0.1522,0.3478,0.4348,0.2506,0.2592,0.2506,0.2592,46,46,yes
BLAZE,pydata/xarray,scikit-learn/scikit-learn,WP-large,0.4348,0.6087,0.7826,0.4897,0.525,0.4897,0.525,46,46,yes
BLAZE,pydata/xarray,scikit-learn/scikit-learn,CP-cold-start,0.2826,0.5652,0.6087,0.3832,0.4084,0.3832,0.4084,46,46,yes
BLAZE,pydata/xarray,scikit-learn/scikit-learn,CP-transfer,0.3478,0.5652,0.7174,0.4417,0.4586,0.4417,0.4586,46,46,yes
BLAZE,scikit-learn/scikit-learn,pydata/xarray,WP-small,0.16,0.28,0.28,0.1906,0.234,0.1906,0.234,25,25,yes
BLAZE,scikit-learn/scikit-learn,pydata/xarray,WP-large,0.4,0.76,0.8,0.4596,0.5214,0.4596,0.5214,25,25,yes
BLAZE,scikit-learn/scikit-learn,pydata/xarray,CP-cold-start,0.12,0.44,0.72,0.2626,0.2833,0.2626,0.2833,25,25,yes
BLAZE,scikit-learn/scikit-learn,pydata/xarray,CP-transfer,0.16,0.64,0.8,0.3191,0.3791,0.3191,0.3791,25,25,yes
BLAZE,numpy/numpy,scikit-learn/scikit-learn,WP-small,0.0435,0.2391,0.3261,0.1423,0.1478,0.1423,0.1478,46,46,yes
BLAZE,numpy/numpy,scikit-learn/scikit-learn,WP-large,0.3696,0.7174,0.7826,0.4831,0.5117,0.4831,0.5117,46,46,yes
BLAZE,numpy/numpy,scikit-learn/scikit-learn,CP-cold-start,0.1522,0.5652,0.6522,0.3329,0.3503,0.3329,0.3503,46,46,yes
BLAZE,numpy/numpy,scikit-learn/scikit-learn,CP-transfer,0.3478,0.6739,0.7609,0.4597,0.4784,0.4597,0.4784,46,46,yes
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,WP-small,0.1466666666666666,0.5066666666666667,0.6,0.2497,0.3062,0.2497194794562826,0.3061774811833933,74,75,no
COOBA,jupyterlab/jupyterlab,pydata/xarray,WP-small,0.08,0.24,0.32,0.1454,0.1664,0.1454098382701033,0.1663857210947955,25,25,no
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,WP-small,0.0853658536585365,0.2439024390243902,0.3414634146341463,0.1198,0.1603,0.1198108242928139,0.1602902129698003,42,82,no
COOBA,jupyterlab/jupyterlab,pydata/xarray,WP-large,0.24,0.44,0.52,0.2685,0.325,0.2685392936233051,0.3249549573007334,25,25,no
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,WP-large,0.28,0.5866666666666667,0.68,0.3106,0.4046,0.3106121590173865,0.4045835387635129,74,75,no
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,WP-large,0.0853658536585365,0.2804878048780488,0.3536585365853658,0.1355,0.1778,0.1355200327600764,0.1778109220406566,42,82,no
COOBA,jupyterlab/jupyterlab,pydata/xarray,CP-cold-start,0.0,0.0,0.0,0.0096,0.008,0.0096397008620318,0.0079975991137437,25,25,no
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,CP-cold-start,0.0,0.04,0.0533333333333333,0.0343,0.0398,0.034342699199512,0.0398024968734024,74,75,no
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,CP-cold-start,0.0,0.024390243902439,0.0365853658536585,0.0122,0.015,0.0122179623883231,0.0150234305604444,42,82,no
COOBA,jupyterlab/jupyterlab,pydata/xarray,CP-transfer,0.04,0.08,0.36,0.0901,0.1197,0.0900602912986325,0.1197033186016329,25,25,no
COOBA,pydata/xarray,jupyterlab/jupyterlab,WP-small,0.05,0.25,0.425,0.1357,0.1379,0.1356550394050394,0.137946706071706,20,40,no
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,CP-transfer,0.32,0.56,0.6933333333333334,0.3238,0.4418,0.3238253995917057,0.4418417721123726,74,75,no
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,WP-small,0.175,0.45,0.5,0.2807,0.2932,0.2806547619047618,0.2931547619047618,20,40,no
COOBA,pydata/xarray,jupyterlab/jupyterlab,WP-large,0.025,0.4,0.5,0.1719,0.1729,0.1719047619047619,0.1729464285714285,20,40,no
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,CP-transfer,0.0853658536585365,0.2073170731707317,0.2926829268292683,0.1283,0.1478,0.1283468054008599,0.1478420168099539,42,82,no
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,WP-small,0.0,0.125,0.3,0.0785,0.0798,0.0785322060979955,0.0798318092725987,20,40,no
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,WP-large,0.175,0.375,0.5,0.2449,0.253,0.2449016955266955,0.2530456349206348,20,40,no
COOBA,pydata/xarray,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.025,0.0112,0.011,0.0111771802929024,0.0109632938997707,20,40,no
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,WP-large,0.125,0.475,0.475,0.2567,0.2571,0.2566666666666667,0.2570833333333334,20,40,no
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0138,0.0131,0.0138321851463799,0.0131479277773399,20,40,no
COOBA,pydata/xarray,jupyterlab/jupyterlab,CP-transfer,0.05,0.45,0.5,0.1835,0.1952,0.1835416666666666,0.1952083333333333,20,40,no
COOBA,jupyterlab/jupyterlab,ipython/ipython,WP-small,0.0059171597633136,0.1005917159763313,0.1775147928994082,0.0538,0.0619,0.0538246143694359,0.0619171753113911,98,169,no
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,CP-cold-start,0.0,0.0,0.0,0.0042,0.0051,0.0041757473844751,0.0050829724886816,20,40,no
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,CP-transfer,0.175,0.475,0.5,0.2802,0.2975,0.2802380952380952,0.2975,20,40,no
COOBA,jupyterlab/jupyterlab,numpy/numpy,WP-small,0.0248447204968944,0.0807453416149068,0.1614906832298136,0.062,0.0698,0.0619911860933469,0.0698276569028501,69,161,no
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,CP-transfer,0.125,0.375,0.5,0.2508,0.2534,0.2507738095238095,0.2533630952380952,20,40,no
COOBA,jupyterlab/jupyterlab,ipython/ipython,WP-large,0.0414201183431952,0.1301775147928994,0.2485207100591716,0.0799,0.0994,0.0799496315736179,0.0993871973039238,98,169,no
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-small,0.0,0.0,0.0217391304347826,0.0169,0.0156,0.0169471157012975,0.0155686569856309,13,46,no
COOBA,jupyterlab/jupyterlab,ipython/ipython,CP-cold-start,0.0,0.0059171597633136,0.0059171597633136,0.0053,0.0049,0.0053263196809791,0.0049131777833159,98,169,no
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-large,0.0,0.0652173913043478,0.1739130434782608,0.0347,0.0359,0.0346512072341591,0.0359189310562308,13,46,no
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-cold-start,0.0,0.0,0.0,0.0053,0.0049,0.0052818746832279,0.0048708456211318,13,46,no
COOBA,jupyterlab/jupyterlab,numpy/numpy,WP-large,0.0559006211180124,0.1677018633540372,0.1987577639751552,0.0969,0.1083,0.0969011005790215,0.1083478690910707,69,161,no
COOBA,jupyterlab/jupyterlab,ipython/ipython,CP-transfer,0.0059171597633136,0.029585798816568,0.0769230769230769,0.0349,0.0356,0.0349228137528207,0.0356458900528151,98,169,no
COOBA,ipython/ipython,jupyterlab/jupyterlab,WP-small,0.125,0.375,0.475,0.2231,0.2419,0.2231026785714285,0.2418526785714285,20,40,no
COOBA,ipython/ipython,jupyterlab/jupyterlab,WP-large,0.175,0.4,0.5,0.2572,0.2653,0.2571825396825397,0.2653075396825397,20,40,no
COOBA,jupyterlab/jupyterlab,numpy/numpy,CP-cold-start,0.0,0.0062111801242236,0.0062111801242236,0.0093,0.0088,0.0093128401245537,0.0087790889369789,69,161,no
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,CP-transfer,0.0,0.0652173913043478,0.0652173913043478,0.0313,0.0307,0.0312647947657079,0.0307236471540407,13,46,no
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-small,0.075,0.3,0.475,0.1877,0.191,0.1877299783549783,0.1910128066378066,20,40,no
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,WP-large,0.1,0.35,0.5,0.2073,0.2146,0.207332251082251,0.2146428571428571,20,40,no
COOBA,jupyterlab/jupyterlab,numpy/numpy,CP-transfer,0.0186335403726708,0.0559006211180124,0.1180124223602484,0.0468,0.0515,0.0468160649079794,0.051482763136757,69,161,no
COOBA,numpy/numpy,jupyterlab/jupyterlab,WP-small,0.025,0.3,0.475,0.1562,0.1615,0.1561724386724387,0.1615386002886003,20,40,no
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-cold-start,0.05,0.05,0.05,0.0473,0.0583,0.0473087700008096,0.0582773785980946,20,40,no
COOBA,numpy/numpy,jupyterlab/jupyterlab,WP-large,0.125,0.425,0.5,0.2339,0.2459,0.2339186507936507,0.2459027777777777,20,40,no
COOBA,ipython/ipython,jupyterlab/jupyterlab,CP-cold-start,0.0,0.05,0.05,0.0184,0.0165,0.0184339993685037,0.0164699112336758,20,40,no
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,CP-transfer,0.05,0.25,0.425,0.139,0.1471,0.1389922332569391,0.1471361726508785,20,40,no
COOBA,jupyterlab/jupyterlab,ansible/ansible,WP-small,0.0,0.0064935064935064,0.0129870129870129,0.0041,0.0041,0.0040840876818482,0.0040775263146155,15,154,no
COOBA,numpy/numpy,jupyterlab/jupyterlab,CP-cold-start,0.025,0.1,0.2,0.0654,0.0662,0.0654492049857762,0.0661905292932769,20,40,no
COOBA,jupyterlab/jupyterlab,ansible/ansible,WP-large,0.0,0.0129870129870129,0.0194805194805194,0.0077,0.0077,0.0077127812189404,0.0076576252710713,15,154,no
COOBA,jupyterlab/jupyterlab,ansible/ansible,CP-cold-start,0.0,0.0064935064935064,0.0064935064935064,0.0019,0.0027,0.0018930692779716,0.0026760407285987,15,154,no
COOBA,ipython/ipython,jupyterlab/jupyterlab,CP-transfer,0.125,0.45,0.5,0.2334,0.2449,0.2333838383838384,0.2448611111111111,20,40,no
COOBA,jupyterlab/jupyterlab,docker/compose,WP-small,0.2136752136752136,0.6666666666666666,0.8376068376068376,0.3435,0.4046,0.3435211392483431,0.4045885881621875,116,117,no
COOBA,jupyterlab/jupyterlab,ansible/ansible,CP-transfer,0.0,0.0129870129870129,0.0194805194805194,0.0073,0.0074,0.0073413900087654,0.0074124201986057,15,154,no
COOBA,ansible/ansible,jupyterlab/jupyterlab,WP-small,0.05,0.3,0.475,0.1682,0.1698,0.1681953463203463,0.1697628066378066,20,40,no
COOBA,jupyterlab/jupyterlab,docker/compose,WP-large,0.282051282051282,0.7264957264957265,0.8717948717948718,0.4138,0.468,0.4137708368976752,0.4679870151678916,116,117,no
COOBA,ansible/ansible,jupyterlab/jupyterlab,WP-large,0.05,0.4,0.5,0.1741,0.1844,0.1741071428571428,0.1844047619047619,20,40,no
COOBA,jupyterlab/jupyterlab,docker/compose,CP-cold-start,0.0085470085470085,0.0256410256410256,0.0256410256410256,0.017,0.0211,0.016988628290103,0.0211485988439098,116,117,no
COOBA,jupyterlab/jupyterlab,docker/compose,CP-transfer,0.2649572649572649,0.7350427350427351,0.8205128205128205,0.3957,0.4569,0.3956535926268443,0.4569226939255518,116,117,no
COOBA,numpy/numpy,jupyterlab/jupyterlab,CP-transfer,0.025,0.275,0.5,0.1345,0.1351,0.1344742063492063,0.1350892857142857,20,40,no
COOBA,docker/compose,jupyterlab/jupyterlab,WP-small,0.05,0.2,0.475,0.15,0.1549,0.1500282356532356,0.1549389499389499,20,40,no
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,WP-small,0.0582010582010582,0.1587301587301587,0.1851851851851851,0.092,0.0994,0.0920151668622521,0.09938374513456,47,189,no
COOBA,docker/compose,jupyterlab/jupyterlab,WP-large,0.15,0.475,0.475,0.2465,0.2547,0.2465457459207459,0.2546707459207459,20,40,no
