source_project,target_project,delta_BLAZE,delta_COOBA,dir_BLAZE,dir_COOBA,agree,agree_sign,tgt_LoC,tgt_n_bugs
jupyterlab/jupyterlab,lightning-ai/lightning,0.15650000000000003,0.1356,positive,positive,True,True,51387,366
lightning-ai/lightning,jupyterlab/jupyterlab,0.2255,0.0042999999999999705,positive,neutral,False,True,39372,197
jupyterlab/jupyterlab,prefecthq/prefect,0.1528,-0.012500000000000011,positive,negative,False,False,107073,404
prefecthq/prefect,jupyterlab/jupyterlab,0.2773,0.17360000000000003,positive,positive,True,True,39372,197
jupyterlab/jupyterlab,pydata/xarray,0.2531,-0.04669999999999999,positive,negative,False,False,142044,110
pydata/xarray,jupyterlab/jupyterlab,0.12050000000000002,0.05730000000000002,positive,positive,True,True,39372,197
jupyterlab/jupyterlab,numpy/numpy,-0.00040000000000001146,-0.018300000000000004,neutral,negative,False,True,276548,789
numpy/numpy,jupyterlab/jupyterlab,0.3336,-0.026400000000000007,positive,negative,False,False,39372,197
jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.14330000000000004,0.015100000000000002,positive,positive,True,True,376169,228
scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.04089999999999999,-0.043899999999999995,positive,negative,False,False,39372,197
lightning-ai/lightning,prefecthq/prefect,0.1508,-0.0007999999999999952,positive,neutral,False,False,107073,404
prefecthq/prefect,lightning-ai/lightning,0.1739,0.0030000000000000027,positive,neutral,False,True,51387,366
lightning-ai/lightning,pydata/xarray,0.2639,0.017299999999999996,positive,positive,True,True,142044,110
pydata/xarray,lightning-ai/lightning,0.2071,0.1621,positive,positive,True,True,51387,366
lightning-ai/lightning,numpy/numpy,0.046499999999999986,0.007599999999999996,positive,neutral,False,True,276548,789
numpy/numpy,lightning-ai/lightning,0.10309999999999997,-0.07419999999999999,positive,negative,False,False,51387,366
lightning-ai/lightning,scikit-learn/scikit-learn,0.28300000000000003,0.0032999999999999974,positive,neutral,False,True,376169,228
scikit-learn/scikit-learn,lightning-ai/lightning,0.19859999999999994,0.0353,positive,positive,True,True,51387,366
prefecthq/prefect,pydata/xarray,0.2351,0.08549999999999999,positive,positive,True,True,142044,110
pydata/xarray,prefecthq/prefect,0.2518,-0.0131,positive,negative,False,False,107073,404
prefecthq/prefect,numpy/numpy,-0.0050000000000000044,0.0013999999999999985,neutral,neutral,True,False,276548,789
numpy/numpy,prefecthq/prefect,0.1038,0.04729999999999998,positive,positive,True,True,107073,404
prefecthq/prefect,scikit-learn/scikit-learn,0.39270000000000005,0.008400000000000001,positive,neutral,False,True,376169,228
scikit-learn/scikit-learn,prefecthq/prefect,0.16699999999999998,0.037599999999999995,positive,positive,True,True,107073,404
pydata/xarray,numpy/numpy,0.019000000000000017,0.011699999999999995,positive,positive,True,True,276548,789
numpy/numpy,pydata/xarray,0.31529999999999997,0.14389999999999997,positive,positive,True,True,142044,110
pydata/xarray,scikit-learn/scikit-learn,0.19940000000000002,-0.0008000000000000021,positive,neutral,False,False,376169,228
scikit-learn/scikit-learn,pydata/xarray,0.14509999999999998,0.1196,positive,positive,True,True,142044,110
numpy/numpy,scikit-learn/scikit-learn,0.3306,-0.0208,positive,negative,False,False,376169,228
jupyterlab/jupyterlab,ipython/ipython,0.0363,-0.026299999999999997,positive,negative,False,False,77778,832
ipython/ipython,jupyterlab/jupyterlab,0.11249999999999999,0.0030000000000000027,positive,neutral,False,True,39372,197
jupyterlab/jupyterlab,mesonbuild/meson,0.058599999999999985,-0.0291,positive,negative,False,False,121402,937
mesonbuild/meson,jupyterlab/jupyterlab,0.3367,-0.1516,positive,negative,False,False,39372,197
