source_project,target_project,delta_BLAZE,delta_COOBA,dir_BLAZE,dir_COOBA,agree,agree_sign,tgt_LoC,tgt_n_bugs
jupyterlab/jupyterlab,ansible/ansible,0.005900000000000016,0.0033,neutral,neutral,True,True,348229,768
ansible/ansible,jupyterlab/jupyterlab,0.3553,-0.0805,positive,negative,False,False,39372,197
jupyterlab/jupyterlab,docker/compose,0.2347,0.05229999999999996,positive,positive,True,True,34586,572
docker/compose,jupyterlab/jupyterlab,0.1814,0.0373,positive,positive,True,True,39372,197
jupyterlab/jupyterlab,localstack/localstack,-0.016199999999999992,0.028100000000000014,negative,positive,False,False,571611,472
localstack/localstack,jupyterlab/jupyterlab,0.11389999999999997,0.013300000000000006,positive,positive,True,True,39372,197
jupyterlab/jupyterlab,wagtail/wagtail,0.06700000000000003,0.016,positive,positive,True,True,285999,404
wagtail/wagtail,jupyterlab/jupyterlab,0.2928,0.1871,positive,positive,True,True,39372,197
jupyterlab/jupyterlab,qiskit/qiskit,0.017199999999999993,-0.023400000000000004,positive,negative,False,False,435173,1336
lightning-ai/lightning,ipython/ipython,0.044800000000000006,0.0407,positive,positive,True,True,77778,832
qiskit/qiskit,jupyterlab/jupyterlab,0.3135,-0.0844,positive,negative,False,False,39372,197
lightning-ai/lightning,ansible/ansible,0.08810000000000001,0.002299999999999999,positive,neutral,False,True,348229,768
ansible/ansible,lightning-ai/lightning,0.13369999999999999,0.1971,positive,positive,True,True,51387,366
lightning-ai/lightning,wagtail/wagtail,0.0952,-0.0109,positive,negative,False,False,285999,404
lightning-ai/lightning,localstack/localstack,-0.004799999999999971,0.014899999999999997,neutral,positive,False,False,571611,472
prefecthq/prefect,mesonbuild/meson,0.09439999999999998,-0.021599999999999994,positive,negative,False,False,121402,937
localstack/localstack,lightning-ai/lightning,0.1341,0.10359999999999997,positive,positive,True,True,51387,366
prefecthq/prefect,wagtail/wagtail,0.0837,-0.002700000000000001,positive,neutral,False,False,285999,404
prefecthq/prefect,ansible/ansible,-0.02250000000000002,-0.0008999999999999998,negative,neutral,False,True,348229,768
ansible/ansible,prefecthq/prefect,0.0786,0.04000000000000001,positive,positive,True,True,107073,404
numpy/numpy,localstack/localstack,0.02889999999999998,0.06140000000000001,positive,positive,True,True,571611,472
numpy/numpy,mesonbuild/meson,-0.0024000000000000132,0.01440000000000001,neutral,positive,False,False,121402,937
localstack/localstack,numpy/numpy,0.008000000000000007,-0.011200000000000002,neutral,negative,False,False,276548,789
numpy/numpy,qiskit/qiskit,0.013799999999999979,-0.02020000000000001,positive,negative,False,False,435173,1336
qiskit/qiskit,numpy/numpy,0.002999999999999947,0.04850000000000001,neutral,positive,False,True,276548,789
ipython/ipython,docker/compose,0.07550000000000001,-0.029799999999999993,positive,negative,False,False,34586,572
docker/compose,ipython/ipython,0.06669999999999998,0.0022000000000000006,positive,neutral,False,True,77778,832
wagtail/wagtail,docker/compose,0.04420000000000002,-0.07420000000000002,positive,negative,False,False,34586,572
ipython/ipython,qiskit/qiskit,0.035599999999999965,0.015399999999999997,positive,positive,True,True,435173,1336
scikit-learn/scikit-learn,numpy/numpy,0.06390000000000001,-0.0092,positive,neutral,False,False,276548,789
