repo_name,strategy,num_indexes,indexing_time_min,index_size_gb,hit@30,hit@50,hit@75,hit@100,hit@125,hit@150,hit@200
conda/conda,annual,11,0.0017139514287312825,0.00014836154878139496,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.0024647116661071777,0.0002834359183907509,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.002549334367116292,0.0003139721229672432,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
conda/conda,annual,11,0.003735041618347168,0.0006546610966324806,0,0,0,0,0,0,0
