project_A,project_B,lang_A,lang_B,num_bugs_A,num_bugs_B,domain_gap_accuracy
apache/camel,apache/hbase,Java,Java,1469,838,0.9955687381624557
apache/camel,apache/hive,Java,Java,1469,1238,0.9957628220125295
apache/camel,wildfly/wildfly,Java,Java,1469,984,0.9892294416568123
apache/camel,wildfly/wildfly-core,Java,Java,1469,360,0.9937842620969483
apache/camel,apache/commons-math,Java,Java,1469,245,0.9971971885645293
apache/camel,spring-projects/spring-batch,Java,Java,1469,432,0.9960624866252943
apache/camel,spring-projects/spring-roo,Java,Java,1469,714,0.9903984011817353
apache/camel,spring-projects/spring-security,Java,Java,1469,542,0.9894334347504317
apache/camel,apache/commons-compress,Java,Java,1469,113,0.9974894557139988
apache/camel,apache/commons-configuration,Java,Java,1469,133,0.9965972975638623
apache/camel,apache/commons-lang,Java,Java,1469,217,0.9954492072812684
apache/camel,spring-projects/spring-amqp,Java,Java,1469,108,0.9966767521452309
apache/camel,spring-projects/spring-data-commons,Java,Java,1469,158,0.9965102946308391
apache/camel,spring-projects/spring-data-gemfire,Java,Java,1469,107,0.9967855200039563
apache/camel,spring-projects/spring-data-jpa,Java,Java,1469,147,0.9965770663445082
apache/camel,spring-projects/spring-data-mongodb,Java,Java,1469,271,0.9970357195790722
apache/camel,spring-projects/spring-data-rest,Java,Java,1469,132,0.9971921379863619
apache/camel,spring-projects/spring-security-oauth,Java,Java,1469,101,0.9967519488307016
apache/camel,spring-projects/spring-webflow,Java,Java,1469,134,0.9848677697638241
apache/camel,spring-projects/spring-ws,Java,Java,1469,174,0.9912894473796944
apache/camel,bitcoin/bitcoin,Java,C++,1469,563,0.9967805663276506
apache/camel,clickhouse/clickhouse,Java,C++,1469,1541,0.99768137297391
apache/camel,electron/electron,Java,C++,1469,1451,0.9987758849331837
apache/camel,godotengine/godot,Java,C++,1469,1486,0.9979997735592708
apache/camel,protocolbuffers/protobuf,Java,C++,1469,229,0.9986785199423354
apache/camel,dagger/dagger,Java,Go,1469,399,0.9979596362829896
apache/camel,nats-io/nats-server,Java,Go,1469,298,0.9994284897842549
apache/camel,nektos/act,Java,Go,1469,166,0.9988961364776718
apache/camel,elastic/elasticsearch,Java,Java,1469,970,0.995266544117647
apache/camel,apache/dolphinscheduler,Java,Java,1469,1369,0.9949722148716592
apache/camel,apache/dubbo,Java,Java,1469,379,0.9940653969977891
apache/camel,liquibase/liquibase,Java,Java,1469,241,0.9954696184204381
apache/camel,openrefine/openrefine,Java,Java,1469,620,0.9925501173920895
apache/camel,seleniumhq/selenium,Java,Java,1469,134,0.9942137774650089
apache/camel,axios/axios,Java,JavaScript,1469,113,0.9991931417044881
apache/camel,facebook/react,Java,JavaScript,1469,483,0.9984704802691955
apache/camel,fastify/fastify,Java,JavaScript,1469,279,0.9996590023382697
apache/camel,mozilla/pdf.js,Java,JavaScript,1469,543,0.9963235294117647
apache/camel,sveltejs/svelte,Java,JavaScript,1469,1107,0.9982272297510243
apache/camel,vercel/next.js,Java,JavaScript,1469,1258,0.9982749228254948
apache/camel,apache/airflow,Java,Python,1469,1648,0.9975702514261567
apache/camel,ccxt/ccxt,Java,Python,1469,693,0.9992902581357447
apache/camel,localstack/localstack,Java,Python,1469,472,0.997624703087886
apache/camel,posthog/posthog,Java,Python,1469,403,0.9972444561081223
apache/camel,ansible/ansible,Java,Python,1469,768,0.9963152723189219
apache/camel,langchain-ai/langchain,Java,Python,1469,130,0.9983679079156466
apache/camel,odoo/odoo,Java,Python,1469,115,0.9946608734074674
apache/camel,quarkusio/quarkus,Java,Java,1469,950,0.9922454396419371
apache/camel,hannah-sten/texify-idea,Java,Kotlin,1469,53,0.9967697496555983
apache/camel,horizontalsystems/unstoppable-wallet-android,Java,Kotlin,1469,15,0.9973563447725459
apache/camel,intellij-rust/intellij-rust,Java,Kotlin,1469,233,0.9988877481177276
apache/camel,jwstegemann/fritz2,Java,Kotlin,1469,12,0.9982197355035606
apache/camel,square/anvil,Java,Kotlin,1469,49,0.9994426428860965
apache/camel,square/kotlinpoet,Java,Kotlin,1469,24,0.9989834815756036
apache/camel,square/leakcanary,Java,Kotlin,1469,36,0.9980467796279116
apache/camel,square/okhttp,Java,Kotlin,1469,15,0.9984755322933075
apache/camel,thundernest/k-9,Java,Kotlin,1469,146,0.9941665912996291
apache/camel,dmwm/wmcore,Java,Python,1469,263,0.9973400658221
apache/camel,rucio/rucio,Java,Python,1469,297,0.9980757497536021
apache/camel,iterative/dvc,Java,Python,1469,132,0.9992643813447109
apache/camel,conda/conda,Java,Python,1469,608,0.9987899097086474
apache/camel,dagster-io/dagster,Java,Python,1469,154,0.9982574387637678
apache/camel,django/django,Java,Python,1469,850,0.9972655940397875
apache/camel,googleapis/google-cloud-python,Java,Python,1469,911,0.9978944363156205
apache/camel,huggingface/transformers,Java,Python,1469,1049,0.998635027299454
apache/camel,pandas-dev/pandas,Java,Python,1469,5016,0.9982844297207761
apache/camel,qiskit/qiskit,Java,Python,1469,1356,0.9986162726338262
apache/camel,scipy/scipy,Java,Python,1469,100,0.9988373174588411
apache/camel,sympy/sympy,Java,Python,1469,384,0.9992382564536606
apache/camel,matplotlib/matplotlib,Java,Python,1469,184,0.9978805916305916
apache/camel,numpy/numpy,Java,Python,1469,803,0.9985820200137746
apache/camel,open-mmlab/mmdetection,Java,Python,1469,103,0.999537914144448
apache/camel,pantsbuild/pants,Java,Python,1469,734,0.9975234198341768
apache/camel,pypa/pip,Java,Python,1469,684,0.9982434014953607
apache/camel,ray-project/ray,Java,Python,1469,340,0.996547665751275
apache/camel,scikit-learn/scikit-learn,Java,Python,1469,228,0.9981252857796068
apache/camel,wagtail/wagtail,Java,Python,1469,407,0.9977614326830828
apache/camel,ytdl-org/youtube-dl,Java,Python,1469,309,0.999581764951903
apache/camel,celery/celery,Java,Python,1469,245,0.9985894301297724
apache/camel,conan-io/conan,Java,Python,1469,858,0.9993918596064463
apache/camel,docker/compose,Java,Python,1469,583,0.9993134225883968
apache/camel,google/jax,Java,Python,1469,568,0.9992061742006615
apache/camel,ipython/ipython,Java,Python,1469,843,0.9972876017149357
apache/camel,jupyterlab/jupyterlab,Java,Python,1469,200,0.9979148500587633
apache/camel,lightning-ai/lightning,Java,Python,1469,374,0.9988508498922671
apache/camel,mesonbuild/meson,Java,Python,1469,945,0.9978622429347129
apache/camel,prefecthq/prefect,Java,Python,1469,406,0.9982434243979106
apache/camel,pyca/cryptography,Java,Python,1469,337,0.9989213525301318
apache/camel,pydata/xarray,Java,Python,1469,122,0.9989715461090161
apache/camel,pytest-dev/pytest,Java,Python,1469,118,0.9991752377255967
apache/camel,sphinx-doc/sphinx,Java,Python,1469,186,0.9974288163032092
apache/camel,eclipse-aspectj/aspectj,Java,Java,1469,269,0.9947272807833755
apache/camel,eclipse-birt/birt,Java,Java,1469,3498,0.9957120288873843
apache/camel,eclipse-jdt/eclipse.jdt.ui,Java,Java,1469,2543,0.9962590772390523
apache/camel,eclipse-platform/eclipse.platform.swt,Java,Java,1469,90,0.9969610727895423
apache/camel,eclipse-platform/eclipse.platform.ui,Java,Java,1469,2063,0.9942148760330578
apache/camel,apache/tomcat,Java,Java,1469,51,0.9907893433693176
apache/hbase,apache/hive,Java,Java,838,1238,0.9819511662603253
apache/hbase,wildfly/wildfly,Java,Java,838,984,0.9958622727944436
apache/hbase,wildfly/wildfly-core,Java,Java,838,360,0.9962230068150094
apache/hbase,apache/commons-math,Java,Java,838,245,0.9967221175120872
apache/hbase,spring-projects/spring-batch,Java,Java,838,432,0.9969297891249899
apache/hbase,spring-projects/spring-roo,Java,Java,838,714,0.9935151313601597
apache/hbase,spring-projects/spring-security,Java,Java,838,542,0.9944498612465311
apache/hbase,apache/commons-compress,Java,Java,838,113,0.9966397849462365
apache/hbase,apache/commons-configuration,Java,Java,838,133,0.9963401506996771
apache/hbase,apache/commons-lang,Java,Java,838,217,0.9972480948348857
apache/hbase,spring-projects/spring-amqp,Java,Java,838,108,0.9976016570369562
apache/hbase,spring-projects/spring-data-commons,Java,Java,838,158,0.9977951714254216
apache/hbase,spring-projects/spring-data-gemfire,Java,Java,838,107,0.9970757067042132
apache/hbase,spring-projects/spring-data-jpa,Java,Java,838,147,0.9962829466095967
apache/hbase,spring-projects/spring-data-mongodb,Java,Java,838,271,0.9970820274505566
apache/hbase,spring-projects/spring-data-rest,Java,Java,838,132,0.9974318892362662
apache/hbase,spring-projects/spring-security-oauth,Java,Java,838,101,0.9970076471240163
apache/hbase,spring-projects/spring-webflow,Java,Java,838,134,0.9959902200488998
apache/hbase,spring-projects/spring-ws,Java,Java,838,174,0.9976050294381799
apache/hbase,bitcoin/bitcoin,Java,C++,838,563,0.9946164199192463
apache/hbase,clickhouse/clickhouse,Java,C++,838,1541,0.997070534698521
apache/hbase,electron/electron,Java,C++,838,1451,0.9973942782693664
apache/hbase,godotengine/godot,Java,C++,838,1486,0.9964536720613837
apache/hbase,protocolbuffers/protobuf,Java,C++,838,229,0.9950657894736842
apache/hbase,dagger/dagger,Java,Go,838,399,0.9956736177208618
apache/hbase,nats-io/nats-server,Java,Go,838,298,0.998801079028874
apache/hbase,nektos/act,Java,Go,838,166,0.9975397002907627
apache/hbase,elastic/elasticsearch,Java,Java,838,970,0.9962498463051764
apache/hbase,apache/dolphinscheduler,Java,Java,838,1369,0.9939217588102166
apache/hbase,apache/dubbo,Java,Java,838,379,0.9955384303386737
apache/hbase,liquibase/liquibase,Java,Java,838,241,0.9971214738054116
apache/hbase,openrefine/openrefine,Java,Java,838,620,0.9911290322580645
apache/hbase,seleniumhq/selenium,Java,Java,838,134,0.9920493488690885
apache/hbase,axios/axios,Java,JavaScript,838,113,0.9989821307396517
apache/hbase,facebook/react,Java,JavaScript,838,483,0.9963070429965708
apache/hbase,fastify/fastify,Java,JavaScript,838,279,0.9988469601677149
apache/hbase,mozilla/pdf.js,Java,JavaScript,838,543,0.9943437914273089
apache/hbase,sveltejs/svelte,Java,JavaScript,838,1107,0.9954848569046958
apache/hbase,vercel/next.js,Java,JavaScript,838,1258,0.9970525552079083
apache/hbase,apache/airflow,Java,Python,838,1648,0.9964280398868879
apache/hbase,ccxt/ccxt,Java,Python,838,693,0.9986693280106453
apache/hbase,localstack/localstack,Java,Python,838,472,0.9968499914864635
apache/hbase,posthog/posthog,Java,Python,838,403,0.9958965941731637
apache/hbase,ansible/ansible,Java,Python,838,768,0.996972812428604
apache/hbase,langchain-ai/langchain,Java,Python,838,130,0.9965026433509556
apache/hbase,odoo/odoo,Java,Python,838,115,0.9940012368583797
apache/hbase,quarkusio/quarkus,Java,Java,838,950,0.9954812142414635
apache/hbase,hannah-sten/texify-idea,Java,Kotlin,838,53,0.9931431978535228
apache/hbase,horizontalsystems/unstoppable-wallet-android,Java,Kotlin,838,15,0.9961368653421634
apache/hbase,intellij-rust/intellij-rust,Java,Kotlin,838,233,0.9976590248627705
apache/hbase,jwstegemann/fritz2,Java,Kotlin,838,12,0.9973477859778598
apache/hbase,square/anvil,Java,Kotlin,838,49,0.9975991768606379
apache/hbase,square/kotlinpoet,Java,Kotlin,838,24,0.9980430528375733
apache/hbase,square/leakcanary,Java,Kotlin,838,36,0.9961015699083342
apache/hbase,square/okhttp,Java,Kotlin,838,15,0.9949367088607595
apache/hbase,thundernest/k-9,Java,Kotlin,838,146,0.9960452992989394
apache/hbase,dmwm/wmcore,Java,Python,838,263,0.9936567497543107
apache/hbase,rucio/rucio,Java,Python,838,297,0.9968017057569296
apache/hbase,iterative/dvc,Java,Python,838,132,0.9975537119761753
apache/hbase,conda/conda,Java,Python,838,608,0.9972373058969229
apache/hbase,dagster-io/dagster,Java,Python,838,154,0.9966024915062288
apache/hbase,django/django,Java,Python,838,850,0.9964200477326969
apache/hbase,googleapis/google-cloud-python,Java,Python,838,911,0.9979450446218882
apache/hbase,huggingface/transformers,Java,Python,838,1049,0.9981232939035487
apache/hbase,pandas-dev/pandas,Java,Python,838,5016,0.9965379727420133
apache/hbase,qiskit/qiskit,Java,Python,838,1356,0.9958056623558197
apache/hbase,scipy/scipy,Java,Python,838,100,0.9965759939128781
apache/hbase,sympy/sympy,Java,Python,838,384,0.9984179718398988
apache/hbase,matplotlib/matplotlib,Java,Python,838,184,0.993385770468359
apache/hbase,numpy/numpy,Java,Python,838,803,0.9969331872946331
apache/hbase,open-mmlab/mmdetection,Java,Python,838,103,0.9981225945742983
apache/hbase,pantsbuild/pants,Java,Python,838,734,0.9971552183962543
apache/hbase,pypa/pip,Java,Python,838,684,0.9978596272184072
apache/hbase,ray-project/ray,Java,Python,838,340,0.9935181354295959
apache/hbase,scikit-learn/scikit-learn,Java,Python,838,228,0.9957728358757582
apache/hbase,wagtail/wagtail,Java,Python,838,407,0.9943680045626292
apache/hbase,ytdl-org/youtube-dl,Java,Python,838,309,0.99905042256196
apache/hbase,celery/celery,Java,Python,838,245,0.9982488568926938
apache/hbase,conan-io/conan,Java,Python,838,858,0.9983379040970664
apache/hbase,docker/compose,Java,Python,838,583,0.9982984153993406
apache/hbase,google/jax,Java,Python,838,568,0.9987165226319843
apache/hbase,ipython/ipython,Java,Python,838,843,0.9940185341196294
apache/hbase,jupyterlab/jupyterlab,Java,Python,838,200,0.9949314445383066
apache/hbase,lightning-ai/lightning,Java,Python,838,374,0.9970698191371122
apache/hbase,mesonbuild/meson,Java,Python,838,945,0.9954842351423272
apache/hbase,prefecthq/prefect,Java,Python,838,406,0.9944574917801785
apache/hbase,pyca/cryptography,Java,Python,838,337,0.9945809947745307
apache/hbase,pydata/xarray,Java,Python,838,122,0.9989396670554554
apache/hbase,pytest-dev/pytest,Java,Python,838,118,0.9979218620116376
apache/hbase,sphinx-doc/sphinx,Java,Python,838,186,0.9964050329538646
apache/hbase,eclipse-aspectj/aspectj,Java,Java,838,269,0.9926603920214144
apache/hbase,eclipse-birt/birt,Java,Java,838,3498,0.9962796402289452
apache/hbase,eclipse-jdt/eclipse.jdt.ui,Java,Java,838,2543,0.9963754761027154
apache/hbase,eclipse-platform/eclipse.platform.swt,Java,Java,838,90,0.995381299394437
apache/hbase,eclipse-platform/eclipse.platform.ui,Java,Java,838,2063,0.9961170434059077
apache/hbase,apache/tomcat,Java,Java,838,51,0.9938083858353248
apache/hive,wildfly/wildfly,Java,Java,1238,984,0.9962971384025725
apache/hive,wildfly/wildfly-core,Java,Java,1238,360,0.9982350864807624
apache/hive,apache/commons-math,Java,Java,1238,245,0.9972233240777469
apache/hive,spring-projects/spring-batch,Java,Java,1238,432,0.9967194471174875
apache/hive,spring-projects/spring-roo,Java,Java,1238,714,0.9965354890290485
apache/hive,spring-projects/spring-security,Java,Java,1238,542,0.9954658046097653
apache/hive,apache/commons-compress,Java,Java,1238,113,0.9974244063256581
apache/hive,apache/commons-configuration,Java,Java,1238,133,0.9976739482200647
apache/hive,apache/commons-lang,Java,Java,1238,217,0.9987457984247228
apache/hive,spring-projects/spring-amqp,Java,Java,1238,108,0.9984739813825728
apache/hive,spring-projects/spring-data-commons,Java,Java,1238,158,0.9977501661809071
apache/hive,spring-projects/spring-data-gemfire,Java,Java,1238,107,0.9980221117760422
apache/hive,spring-projects/spring-data-jpa,Java,Java,1238,147,0.998244164428837
apache/hive,spring-projects/spring-data-mongodb,Java,Java,1238,271,0.998125443307326
apache/hive,spring-projects/spring-data-rest,Java,Java,1238,132,0.9983025564528574
apache/hive,spring-projects/spring-security-oauth,Java,Java,1238,101,0.9984622481931417
apache/hive,spring-projects/spring-webflow,Java,Java,1238,134,0.9974892569166144
apache/hive,spring-projects/spring-ws,Java,Java,1238,174,0.9979519188569757
apache/hive,bitcoin/bitcoin,Java,C++,1238,563,0.9981365533691116
apache/hive,clickhouse/clickhouse,Java,C++,1238,1541,0.9934275386132106
apache/hive,electron/electron,Java,C++,1238,1451,0.9986853940358403
apache/hive,godotengine/godot,Java,C++,1238,1486,0.9978072706289671
apache/hive,protocolbuffers/protobuf,Java,C++,1238,229,0.996771425068454
apache/hive,dagger/dagger,Java,Go,1238,399,0.9983668284716236
apache/hive,nats-io/nats-server,Java,Go,1238,298,0.9987313979019273
apache/hive,nektos/act,Java,Go,1238,166,0.9985073090385012
apache/hive,elastic/elasticsearch,Java,Java,1238,970,0.9952809354441268
apache/hive,apache/dolphinscheduler,Java,Java,1238,1369,0.9956456398597356
apache/hive,apache/dubbo,Java,Java,1238,379,0.9967957593259227
apache/hive,liquibase/liquibase,Java,Java,1238,241,0.9971302850583509
apache/hive,openrefine/openrefine,Java,Java,1238,620,0.9953337953337953
apache/hive,seleniumhq/selenium,Java,Java,1238,134,0.9947758813207848
apache/hive,axios/axios,Java,JavaScript,1238,113,0.9992239238410596
apache/hive,facebook/react,Java,JavaScript,1238,483,0.9984405458089669
apache/hive,fastify/fastify,Java,JavaScript,1238,279,0.9994007490636704
apache/hive,mozilla/pdf.js,Java,JavaScript,1238,543,0.9972478326682263
apache/hive,sveltejs/svelte,Java,JavaScript,1238,1107,0.9977492866042361
apache/hive,vercel/next.js,Java,JavaScript,1238,1258,0.9981253265312394
apache/hive,apache/airflow,Java,Python,1238,1648,0.9975911353781918
apache/hive,ccxt/ccxt,Java,Python,1238,693,0.9991475759190197
apache/hive,localstack/localstack,Java,Python,1238,472,0.9980208708168405
apache/hive,posthog/posthog,Java,Python,1238,403,0.9974317924087786
apache/hive,ansible/ansible,Java,Python,1238,768,0.9958919768521826
apache/hive,langchain-ai/langchain,Java,Python,1238,130,0.9978051885343049
apache/hive,odoo/odoo,Java,Python,1238,115,0.9970738295318127
apache/hive,quarkusio/quarkus,Java,Java,1238,950,0.996625006591784
apache/hive,hannah-sten/texify-idea,Java,Kotlin,1238,53,0.9969826747128674
apache/hive,horizontalsystems/unstoppable-wallet-android,Java,Kotlin,1238,15,0.9983115886415963
apache/hive,intellij-rust/intellij-rust,Java,Kotlin,1238,233,0.998382372229266
apache/hive,jwstegemann/fritz2,Java,Kotlin,1238,12,0.998642864599645
apache/hive,square/anvil,Java,Kotlin,1238,49,0.9989601206260074
apache/hive,square/kotlinpoet,Java,Kotlin,1238,24,0.998956866426746
