repo_name,FAISS_Recall@300,BM25_Recall@300,Delta
ansible/ansible,0.3125,0.921875,-0.609375
docker/compose,0.9982847341337908,0.9982847341337908,0.0
ipython/ipython,0.7461447212336892,0.966785290628707,-0.22064056939501775
jupyterlab/jupyterlab,0.47,0.955,-0.485
lightning-ai/lightning,0.9893048128342246,0.9919786096256684,-0.002673796791443861
localstack/localstack,0.7648305084745762,0.9639830508474576,-0.19915254237288138
mesonbuild/meson,0.455026455026455,0.9968253968253968,-0.5417989417989418
numpy/numpy,0.7447073474470735,0.975093399750934,-0.23038605230386056
prefecthq/prefect,0.6970443349753694,0.9630541871921182,-0.2660098522167488
pydata/xarray,1.0,1.0,0.0
qiskit/qiskit,0.5612094395280236,0.9778761061946902,-0.41666666666666663
scikit-learn/scikit-learn,0.6228070175438597,0.9912280701754386,-0.36842105263157887
wagtail/wagtail,0.3464373464373464,0.9434889434889436,-0.5970515970515973
