K,FAISS_Recall,BM25_Recall,Delta
30,0.1543854415274463,0.7754096176901558,-0.6210241761627096
50,0.2267303102625298,0.8434794192087385,-0.6167491089462087
75,0.3022076372315035,0.8863727187957906,-0.5841650815642871
100,0.3632159904534606,0.914213400825896,-0.5509974103724353
125,0.4113961813842482,0.9297988544025576,-0.5184026730183093
150,0.4570405727923627,0.9407219928067138,-0.48368142001435105
200,0.5299821002386634,0.9564406553883044,-0.4264585551496409
250,0.5839797136038186,0.965099240708672,-0.3811195271048534
300,0.6197792362768496,0.9718928999600372,-0.35211366368318764
400,0.6851133651551312,0.98001864926069,-0.29490528410555883
500,0.7370226730310262,0.985480218462768,-0.2484575454317418
600,0.77118138424821,0.9888104435859864,-0.21762905933777632
700,0.8017601431980907,0.9904089516451312,-0.18864880844704046
