pair,n,agreement_pct,spearman_rho,p_value
BLAZE vs. COOBA,63,47.61904761904761,0.14989319060077286,0.24097456490346444
BLAZE vs. TRANP-CNN,63,61.904761904761905,0.5160392190178029,1.499271008613752e-05
COOBA vs. TRANP-CNN,63,44.44444444444444,0.21623243368052966,0.0887319866852522
