project_A,project_B,n_bugs_A,n_bugs_B,mean_sim,std_sim,median_sim
google/jax,matplotlib/matplotlib,568,184,0.409185,0.111289,0.409638
google/jax,numpy/numpy,568,803,0.423338,0.123867,0.419526
google/jax,open-mmlab/mmdetection,568,103,0.401529,0.117596,0.396764
google/jax,ray-project/ray,568,340,0.403794,0.121419,0.401584
google/jax,scipy/scipy,568,100,0.427594,0.121326,0.422722
google/jax,sympy/sympy,568,384,0.413625,0.117232,0.409682
jupyterlab/jupyterlab,matplotlib/matplotlib,200,184,0.422533,0.113795,0.424629
jupyterlab/jupyterlab,numpy/numpy,200,803,0.430009,0.12404,0.429048
jupyterlab/jupyterlab,open-mmlab/mmdetection,200,103,0.405152,0.12306,0.403339
jupyterlab/jupyterlab,scipy/scipy,200,100,0.43053,0.122352,0.42853
jupyterlab/jupyterlab,sympy/sympy,200,384,0.409634,0.119097,0.407419
lightning-ai/lightning,matplotlib/matplotlib,374,184,0.416688,0.110738,0.419496
lightning-ai/lightning,numpy/numpy,374,803,0.42147,0.122183,0.419789
lightning-ai/lightning,scipy/scipy,374,100,0.417445,0.117951,0.415767
lightning-ai/lightning,sympy/sympy,374,384,0.402063,0.115277,0.401198
matplotlib/matplotlib,numpy/numpy,184,803,0.435344,0.115355,0.438325
matplotlib/matplotlib,open-mmlab/mmdetection,184,103,0.406213,0.106425,0.409278
matplotlib/matplotlib,prefecthq/prefect,184,406,0.405905,0.112717,0.406144
matplotlib/matplotlib,pydata/xarray,184,122,0.427472,0.102011,0.428462
matplotlib/matplotlib,ray-project/ray,184,340,0.409858,0.113389,0.413535
matplotlib/matplotlib,scikit-learn/scikit-learn,184,228,0.432827,0.10574,0.435604
matplotlib/matplotlib,scipy/scipy,184,100,0.43606,0.111347,0.439629
matplotlib/matplotlib,sympy/sympy,184,384,0.416933,0.110699,0.419182
numpy/numpy,open-mmlab/mmdetection,803,103,0.412258,0.120459,0.409191
numpy/numpy,prefecthq/prefect,803,406,0.419827,0.121342,0.417028
numpy/numpy,pydata/xarray,803,122,0.42685,0.107323,0.425722
numpy/numpy,ray-project/ray,803,340,0.418129,0.123413,0.4183
numpy/numpy,scikit-learn/scikit-learn,803,228,0.44253,0.116468,0.44166
numpy/numpy,scipy/scipy,803,100,0.4658,0.12039,0.467562
numpy/numpy,sympy/sympy,803,384,0.432051,0.119078,0.43003
open-mmlab/mmdetection,ray-project/ray,103,340,0.408014,0.120922,0.407066
open-mmlab/mmdetection,scikit-learn/scikit-learn,103,228,0.419647,0.110631,0.417626
open-mmlab/mmdetection,scipy/scipy,103,100,0.415104,0.121008,0.412621
open-mmlab/mmdetection,sympy/sympy,103,384,0.398184,0.11475,0.394716
prefecthq/prefect,scipy/scipy,406,100,0.421778,0.119614,0.415601
prefecthq/prefect,sympy/sympy,406,384,0.39816,0.117551,0.393525
pydata/xarray,scipy/scipy,122,100,0.418977,0.102246,0.416901
pydata/xarray,sympy/sympy,122,384,0.405789,0.103051,0.405268
ray-project/ray,scipy/scipy,340,100,0.419399,0.121287,0.418958
ray-project/ray,sympy/sympy,340,384,0.401388,0.117966,0.401102
scikit-learn/scikit-learn,scipy/scipy,228,100,0.446533,0.112211,0.445407
scikit-learn/scikit-learn,sympy/sympy,228,384,0.42193,0.110904,0.41969
scipy/scipy,sympy/sympy,100,384,0.443161,0.115632,0.440064
spring-projects/spring-data-jpa,spring-projects/spring-data-mongodb,147,271,0.415435,0.149776,0.385153
spring-projects/spring-security,spring-projects/spring-security-oauth,542,101,0.457945,0.168443,0.452073
square/anvil,square/kotlinpoet,49,24,0.441315,0.130539,0.427639
wildfly/wildfly,wildfly/wildfly-core,984,360,0.39785,0.147017,0.370847
