K,Recall
30,0.1543854415274463
50,0.22673031026252982
75,0.30220763723150357
100,0.36321599045346065
125,0.4113961813842482
150,0.45704057279236276
200,0.5299821002386634
250,0.5839797136038186
300,0.6197792362768496
400,0.6851133651551312
500,0.7370226730310262
600,0.77118138424821
700,0.8017601431980907
