bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,32,3,264,0.4003543555736542,0.42162376642227173
wagtail__wagtail-6279,5309efbf69e464bc7f1cd95f9e99c70f067e7c93,460,-1,300,0.2922537326812744,0.2707524001598358
wagtail__wagtail-6279,386878b0dde38320c0e76f4d1835ffbffce8bf05,191,158,300,0.35820311307907104,0.264640212059021
wagtail__wagtail-7212,44b616244a10aa17242f080073366dcd74c683d5,1073,-1,261,0.2837098240852356,0.37843573093414307
wagtail__wagtail-7212,cf117535f7f6355a855d6891021842edc49cdec2,1168,-1,261,0.27322179079055786,0.18511152267456055
wagtail__wagtail-7212,9f2410f57a68c63010c853d2c3c4cca31c8f2267,1207,-1,261,0.2697921097278595,0.2661975622177124
wagtail__wagtail-7212,bac7f4e79c673a0ceba21f411121713724b64e0f,1962,-1,261,0.18568655848503113,0.30720776319503784
wagtail__wagtail-10318,4870f7430d8953c554050028e0fe25e13adaf478,110,92,300,0.48953866958618164,0.3002218008041382
wagtail__wagtail-10547,7bfa8894c5cae622640117b61c5a54f14e38040d,2433,-1,300,0.21027535200119019,0.3449212312698364
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,795,-1,299,0.20817780494689941,0.3277033567428589
wagtail__wagtail-2721,652b2f1baa7af72e205dd92b6ea9299fadb521bd,716,-1,300,0.31993338465690613,0.4352363348007202
wagtail__wagtail-8800,86c48780dd47e02902b983b765210fa2cc6155f7,1715,-1,299,0.11612574011087418,0.4159005284309387
wagtail__wagtail-6999,ac039ef4f713ba1f9c330a49fe77f5c6600837d7,1929,-1,300,0.21316932141780853,0.3403574824333191
wagtail__wagtail-7408,ec28196f32eadfb5174e28c1f18005a735c65172,2337,-1,293,0.12071751803159714,0.32638630270957947
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,603,-1,300,0.30004629492759705,0.3175005316734314
wagtail__wagtail-1274,825d82581929e7fc2837c5776ccba32eefc7650b,475,-1,300,0.22750356793403625,0.30241477489471436
wagtail__wagtail-7844,e964a073935ec1090b9937247b0ac1a871804eff,794,-1,274,0.22872529923915863,0.30982714891433716
wagtail__wagtail-7844,ab44641192a6527147810ed6a361ceea27b08e35,2371,-1,274,0.12196561694145203,0.3064577579498291
wagtail__wagtail-974,3a7884a08aceedff5b50dcda06115e70f59ed3f3,324,-1,254,0.24379004538059235,0.4745190143585205
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,165,224,259,0.28654322028160095,0.18107473850250244
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,541,-1,259,0.10375651717185974,0.2785666584968567
wagtail__wagtail-356,1624c65cec5321e1f275d9aad7ec73c7dff5bdcc,380,-1,259,0.20170700550079346,0.2435958981513977
wagtail__wagtail-356,c5e461f55cb699d8f0397e0b975fa8a05163e1c7,188,92,259,0.2768430709838867,0.26644983887672424
wagtail__wagtail-356,59779d36ba62399b7ab2cbed544cc92b87b7d790,344,-1,259,0.2168220728635788,0.42982202768325806
wagtail__wagtail-4730,ce8630b094d4b6209b302679fc38e56d949900a3,1382,-1,222,0.18922339379787445,0.2218594253063202
wagtail__wagtail-4384,b94865714281fd968d6cc108861f4c2b4044722e,1419,-1,224,0.12317658960819244,0.2142677903175354
wagtail__wagtail-4384,cc2baa89299199a29fc82b9c4b7c53aebaaf2cf9,950,-1,224,0.18355317413806915,0.3067556619644165
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,1294,-1,211,0.22675307095050812,0.3966725468635559
wagtail__wagtail-10113,21ca382720c5fb5d746df82c5bfd0d95fa01df52,291,5,300,0.3596814274787903,0.3649289608001709
wagtail__wagtail-10113,89d010b8bebdf606be5d91816fa44c3c5bfc26b3,1990,-1,300,0.18866054713726044,0.26947712898254395
wagtail__wagtail-5292,7aa3f75b76d4fb76928652ccdf406e85f7067b61,1018,-1,298,0.3405556082725525,0.3126789331436157
wagtail__wagtail-5292,9fbf9e64e12cfbb33f9269cbc76cdb4e3ed953a8,1353,-1,298,0.27254027128219604,0.2918999195098877
wagtail__wagtail-5292,5d42af96da8c0c95e9a16c27dcfc74f82ade59f2,1188,-1,298,0.3005327582359314,0.38211488723754883
wagtail__wagtail-5292,df93bd5e61c394930131eeb662731eccd5f8fd83,1672,-1,298,0.1534917950630188,0.2975831627845764
wagtail__wagtail-1070,a694d9b5bf1647ed5615c96192f3c66040bab932,286,1,253,0.22758203744888306,0.37398648262023926
wagtail__wagtail-997,cb049d0e88a7521ea7a05da858cd7b4316462231,91,6,254,0.3625921607017517,0.35697343945503235
wagtail__wagtail-7850,76d78ebb46c5cf331b640179692b15278576bf35,65,198,261,0.5610302686691284,0.22274699807167053
wagtail__wagtail-7850,b3a439c055c2334383dae6ddd9832e70b81033cf,1690,-1,261,0.23245489597320557,0.414693683385849
wagtail__wagtail-7850,28693b8a6456ce27479472a34a936f51f08e26e5,1098,-1,261,0.2795685827732086,0.30525267124176025
wagtail__wagtail-7850,d87f641e941c23ffe96f8ec400ac152ca53b1bc3,411,-1,261,0.4105646014213562,0.3636203706264496
wagtail__wagtail-7850,c1fce2fb0d22d1fb602270e8c92ac73973cfb0fa,988,-1,261,0.28830620646476746,0.20051395893096924
wagtail__wagtail-6547,c1dbf33867ee89fba587ac5395ef73dc2453e7c2,202,44,300,0.2848045825958252,0.19440436363220215
wagtail__wagtail-7702,18efa094639caf07daa552eb86ffa34bc24c3154,495,-1,300,0.38170579075813293,0.331778347492218
wagtail__wagtail-8155,371174e2a357712c8db8e37dd853d550cd8a6547,97,1,300,0.40357261896133423,0.5764552354812622
wagtail__wagtail-1382,955d00de310192a24967f8da7c27e64705d42a20,195,98,300,0.3110712468624115,0.26511383056640625
wagtail__wagtail-5972,cc5abee8585dde36b9273c8b55e9a213c6662fc4,1506,-1,218,0.19008749723434448,0.350117027759552
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,105,8,254,0.3211226761341095,0.31679677963256836
wagtail__wagtail-426,57e8ffff33d33a6253d25dbe19bf76e9468881ed,457,-1,254,0.14403189718723297,0.33991172909736633
wagtail__wagtail-426,e55a831f4f06a69150dbe176c0d4a48947b4be8c,313,-1,254,0.2132129818201065,0.11824434995651245
wagtail__wagtail-426,89be5cf17108e6b932e3be9516b30bbd85af5656,549,-1,254,0.10641418397426605,0.24868619441986084
wagtail__wagtail-426,eb08d81b7a828977fefd5e90dc81aacb25aaa1ad,412,-1,254,0.17103663086891174,0.2726714611053467
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,76,1,254,0.4068247377872467,0.37957635521888733
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,280,140,254,0.22637002170085907,0.22068950533866882
wagtail__wagtail-426,1b1f6cf43006a9b36c987189efec5095ca3bb5a0,269,180,254,0.23048974573612213,0.1832365095615387
wagtail__wagtail-1018,6a2f146b441bcafc3ff98753a4a7e9d8ebe302b9,776,-1,253,0.14968359470367432,0.2991882860660553
wagtail__wagtail-1018,a761be82883fc8f1f28bc622a52f11a649e01f3c,415,-1,253,0.25984853506088257,0.42388176918029785
wagtail__wagtail-2585,90a1c287b09a5d552d0b8cb4bfdde8018f2a2bcf,706,-1,300,0.317331463098526,0.3559042811393738
wagtail__wagtail-1475,0db650c744e4fc0345ebbbf89831bfc12af6dad5,772,-1,246,0.14151889085769653,0.3888075351715088
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,564,-1,246,0.19000115990638733,0.42574042081832886
wagtail__wagtail-10009,e3af9eb034031a1a35fc6d3810c50811a959fdad,1236,-1,237,0.2552366256713867,0.36258912086486816
wagtail__wagtail-10009,cd95fad69226d186b53eaf1830ed9e7e1a2b4292,2043,-1,237,0.19333332777023315,0.41428738832473755
wagtail__wagtail-10009,123e2c7081a54b3358c3a13b3dcbd0b83065e7ba,1574,-1,237,0.2267964780330658,0.372295618057251
wagtail__wagtail-10009,fabe7ef40bd60761ac2ac435f89618ff26726dca,835,-1,237,0.2973795235157013,0.3910643756389618
wagtail__wagtail-10009,5c0814f058b288e45f9e66a442c0922524599705,536,-1,237,0.3411116898059845,0.41311052441596985
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,492,-1,269,0.19269919395446777,0.3209201395511627
wagtail__wagtail-208,b45797148f52c2bc3a25ad6a2a105926a8a55604,332,-1,269,0.2715868353843689,0.3489893674850464
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,374,-1,269,0.24562595784664154,0.09282204508781433
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,537,-1,269,0.16263248026371002,0.29658931493759155
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,407,-1,269,0.22864505648612976,0.3314049243927002
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,400,-1,269,0.23087280988693237,0.3198854327201843
wagtail__wagtail-208,ff167d70d4685ff3cb773c58438717883bff56c4,417,-1,269,0.2227899134159088,0.34603893756866455
wagtail__wagtail-208,375071c4e8dbcd9e123a38f1a0ae3c527a14688b,402,-1,269,0.23003023862838745,0.2327200025320053
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,553,-1,269,0.12081695348024368,0.2853664457798004
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,418,-1,269,0.22230570018291473,0.1688232123851776
wagtail__wagtail-208,87926a3885d68081b5b537e6f9e281416da27255,497,-1,269,0.19108715653419495,0.28647705912590027
wagtail__wagtail-713,4f874133a3bce121dafa40b5bc4cdb1bacc65777,616,-1,245,0.15711884200572968,0.2854984998703003
wagtail__wagtail-7388,2032dd48b7684880d67d76d001a99a0a65ada977,826,-1,300,0.29706326127052307,0.2180604636669159
wagtail__wagtail-10731,f962dfcc93606ce2be24395e8ebedd568f84bd76,396,-1,291,0.37015292048454285,0.4819760322570801
wagtail__wagtail-8268,af8c7bfb0dbb850af54d0055ef77ec530809d219,361,-1,201,0.36632078886032104,0.3975178003311157
wagtail__wagtail-8268,3c6103fae0c1937d4622c28f908f5ab8aea8d51a,807,-1,201,0.2532895505428314,0.3572269380092621
wagtail__wagtail-8268,bf6e8ee863419de86334798e22abca96f3740553,542,-1,201,0.2894994616508484,0.4293307662010193
wagtail__wagtail-1375,0c3f26564dbd1e20730528ba7aff73ba2bc06398,628,-1,245,0.21928958594799042,0.4969295859336853
wagtail__wagtail-8574,d431cafa9980a83a1d8dfe5ac555ada54892a378,2169,-1,300,0.23034006357192993,0.19660596549510956
wagtail__wagtail-8574,5b583db755b72100790c85fdd46dbd0af0659fbe,2570,-1,300,0.1493578851222992,0.24617227911949158
wagtail__wagtail-8574,7d3c57cc101ff7e18b8539a77009a88c7a4c1b66,2601,-1,300,0.12442740052938461,0.26913923025131226
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,1258,-1,300,0.2931995093822479,0.3737832009792328
wagtail__wagtail-8006,8e7bba44ec46edd0fe480c7c2d279613b532c8fc,2295,-1,300,0.19819456338882446,0.3073637783527374
wagtail__wagtail-8006,2b32cf20ca5dd007eb2761b805497ad5f2ebcbe8,2449,-1,300,0.1860424280166626,0.39358627796173096
wagtail__wagtail-8006,986b841f951ebfe66c984fe6116d6d4ad87b14ed,1274,-1,300,0.29253089427948,0.40226730704307556
wagtail__wagtail-9217,89165222bcd1e8668cc2066b149a4939af31ca24,111,1,299,0.43050673604011536,0.4138104021549225
wagtail__wagtail-9217,a2cb1bf60bc5af53a417ac2f74facb37cc3add40,327,-1,299,0.36512142419815063,0.1871940791606903
wagtail__wagtail-2880,1817b57751adec3d5a63ebee6b1d821af3f19a81,301,-1,220,0.30958178639411926,0.2810817360877991
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,285,1,220,0.31473660469055176,0.48114213347435
wagtail__wagtail-2880,fb4b8a0e6f44026fa80682ae3518d8f556915e21,304,-1,220,0.30880239605903625,0.35653144121170044
wagtail__wagtail-2880,5a7b02aaeda340ba3b14d285cf48693979fb673b,319,-1,220,0.30596134066581726,0.42504093050956726
wagtail__wagtail-2880,5807772f6c2af63660b803bd1afa274480a436c0,1022,-1,220,0.19378918409347534,0.32507026195526123
wagtail__wagtail-2880,ed4c08e65a1e158dc561c9b4e74935e4d27837eb,365,-1,220,0.2976083755493164,0.34941062331199646
wagtail__wagtail-2880,dcc5ac81b2f842a658c0c1f140e2ebfc5b4d6965,968,-1,220,0.20490175485610962,0.24625582993030548
wagtail__wagtail-1811,d551863e4594ff41ddebb6a9fafa0b1a9758d847,185,1,244,0.35231518745422363,0.4258943796157837
wagtail__wagtail-1601,304655de27b38fe7d7d4a8eeb9e63aafe5561741,224,14,244,0.32568180561065674,0.2924787998199463
wagtail__wagtail-1601,58e1f9eebc9e525d3e58f927f37e337aeecb8b97,297,7,244,0.309384286403656,0.3012654781341553
wagtail__wagtail-8189,489f46c1f64ec9c8723cf7796bd19274fa2918a3,243,1,257,0.36413514614105225,0.5270989537239075
wagtail__wagtail-8189,6abe4f5d9694c5ef666cd204177a1e9d834b1fee,1307,-1,257,0.20321762561798096,0.4251026511192322
wagtail__wagtail-10248,a0a296c6892794294bdf1d508a3d66649030eb3f,1635,-1,300,0.3078843951225281,0.34777629375457764
wagtail__wagtail-9348,df1b4de396947c9d16f1cc30e1c49fec1db6a778,1825,-1,283,0.2311556488275528,0.3761860132217407
wagtail__wagtail-4287,cc1b9dae74559a859e7d0c1377ca5092c9de9b61,424,-1,299,0.32366788387298584,0.20118343830108643
wagtail__wagtail-4287,ef44a92270af6b80d18f95c2517cadb6c3f615fa,1288,-1,299,0.23385027050971985,0.17853322625160217
wagtail__wagtail-2085,04e012b6fe1cb7cc949be92642be080cdf66ad5e,83,57,241,0.28006887435913086,0.19812026619911194
wagtail__wagtail-2085,9cd0d9cb0228cf6b2cc17f9971fb671598602e95,90,13,241,0.27833056449890137,0.28130871057510376
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,400,-1,262,0.23175601661205292,0.46581608057022095
wagtail__wagtail-1022,a9c5c6fe5c2e30706041d0e061205b24d1992422,101,5,254,0.36633986234664917,0.3654592037200928
wagtail__wagtail-1860,b48b5f5f881d365d2ff58c0410f2f7585005ce97,534,-1,244,0.20972763001918793,0.2596375644207001
wagtail__wagtail-10596,cf8389b44b02f53162a89ca353f30fa8bfa792f4,263,5,300,0.2959218919277191,0.41859203577041626
wagtail__wagtail-10596,ad2f373e97177d5b3ce75010cd959c52b4596c88,1804,-1,300,0.1676892787218094,0.2897679805755615
wagtail__wagtail-10596,3e291d377ced5c478d4f36f34b666e3261a1d1e4,2090,-1,300,0.1547819823026657,0.32890722155570984
wagtail__wagtail-9905,8689b9aa7989a1df775adebeaf357efd11f7431d,286,40,300,0.4119275212287903,0.4939766526222229
wagtail__wagtail-1225,2463af146a20c53b71fb32d9e373e573ee4ea337,618,-1,246,0.23053279519081116,0.3628675639629364
wagtail__wagtail-1219,e0c145f3f509c5e6485ab4d08c65642c538128cd,633,-1,246,0.23094068467617035,0.43159109354019165
wagtail__wagtail-10465,a5a73ad3c7f58ccc86ba5de0ab2c27032f9a3659,475,-1,299,0.32446223497390747,0.30860376358032227
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,1,3,300,0.492588609457016,0.4431542754173279
wagtail__wagtail-10768,d630df80d1c7df84adcd00d9a83d43d02f3f40f5,2005,-1,291,0.17577078938484192,0.43334609270095825
wagtail__wagtail-4184,1a4a604f9489419c518d6b86de61486e3d8c6d7a,358,-1,220,0.331070214509964,0.4599626958370209
wagtail__wagtail-10292,e2e83cac51947246758f88bd7957a28c9897b445,743,-1,300,0.29819414019584656,0.4077349901199341
wagtail__wagtail-3523,a9abca8826ec5839d0de819e6b253930d1a11797,1269,-1,300,0.21130585670471191,0.16034917533397675
wagtail__wagtail-8801,64af7c4e4ce18fc999406a3c07593d010a74ce16,1965,-1,300,0.28158918023109436,0.6584950685501099
wagtail__wagtail-8801,4ff1023f18a82319e1b2b20eec22b85351920c85,2216,-1,300,0.24491490423679352,0.4734630286693573
wagtail__wagtail-5106,bf82ced59b940ed67c5624692af0656118a32d99,160,5,282,0.40413933992385864,0.33593523502349854
wagtail__wagtail-9973,2ed38e178d2ee22ef02b97a492002f0fb43f0a26,1615,-1,299,0.3021688461303711,0.4533751308917999
wagtail__wagtail-1623,032a6cfff6ca1631f903bf3d6af0645c02eb5f02,276,1,244,0.28529393672943115,0.3818615972995758
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,196,2,244,0.31349343061447144,0.3714354932308197
wagtail__wagtail-10303,95186b988b677eee8cd9fe988f4bc12922924ae0,158,1,300,0.4084758758544922,0.4476168155670166
wagtail__wagtail-10303,2e8f5b6be62a465031478b719ee6cec417a0e48b,2156,-1,300,0.1340833604335785,0.29825276136398315
wagtail__wagtail-10303,2929c7553858e5a02b571a6159be5dd3fbb6183a,1095,-1,300,0.21210108697414398,0.2728163003921509
wagtail__wagtail-10303,401ce90457bfb427406a912c92d308b4a34678c9,96,3,300,0.46995601058006287,0.42695921659469604
wagtail__wagtail-10303,57607eb989ac8dd3fbf770ac868bfbdd8d1362c4,105,34,300,0.4620480537414551,0.37700241804122925
wagtail__wagtail-10303,d14b9e8f9f385608fc6d47001db9d3a25924f036,1043,-1,300,0.21858283877372742,0.43225669860839844
wagtail__wagtail-767,43f09d5b3b0bec03767cb3e9215031b7107bbcf8,106,1,243,0.39872682094573975,0.5303515195846558
wagtail__wagtail-6402,fec24dd9be94c9e70b27f4474429aa9be12c5388,285,72,211,0.3872573673725128,0.34222501516342163
wagtail__wagtail-6402,3cdd9b113d4650669bbd1f5510f680ea9af5a112,1716,-1,211,0.16976523399353027,0.3819669485092163
wagtail__wagtail-8862,bb1472edbb31ac3d6c10940fe34368db3c96fa88,2544,-1,299,0.10892787575721741,0.36412885785102844
wagtail__wagtail-1272,2c51f54a1d9fd860c794788dc9a71a231093e354,328,-1,300,0.29722410440444946,0.27665603160858154
wagtail__wagtail-4514,dde1368fd313bff08d6d264c5863ce92e2b27a4b,119,4,298,0.32044732570648193,0.3767431676387787
wagtail__wagtail-2915,524b1e51abeb926f0e63da7599c641c3d05f5265,575,-1,220,0.29182982444763184,0.3047037720680237
wagtail__wagtail-10051,90c1cdee9b2e58ad097dc47283779d7e7342dc2a,345,-1,298,0.3909417986869812,0.4047336280345917
wagtail__wagtail-10568,89c9d714dcfdd5672bd85c815d17c7f9fb8493e0,1071,-1,300,0.23109233379364014,0.4610525369644165
wagtail__wagtail-10568,864338092ab86b0234fef70268be7bc6bcf2a9aa,858,-1,300,0.2697767913341522,0.1949038803577423
wagtail__wagtail-1412,fe8bb728a9d2764f7691154878ae2e0f0d24f83b,251,3,245,0.2778646647930145,0.4137427806854248
wagtail__wagtail-9572,3d9a3d85a8622e16eefdc2c743c2384e9f7cd9a2,458,-1,300,0.3587521016597748,0.2882371246814728
wagtail__wagtail-8925,326a6384785f909d02c104c5568ce83f764ec3d2,1429,-1,300,0.2820815443992615,0.2371363341808319
wagtail__wagtail-9533,66715d9b980f4e5b8dc07232287a54af9015961b,971,-1,300,0.29220953583717346,0.3606911301612854
wagtail__wagtail-9114,6deadf9b797fce4bb5d18738fb4d6b1df4f71bcc,2542,-1,300,0.1898876428604126,0.3993242681026459
wagtail__wagtail-9114,1498531e22ff5d8575e253bd7de26e5ffb19707b,1595,-1,300,0.26537060737609863,0.36461639404296875
wagtail__wagtail-9114,9249110cc237e0947ac8a4915f5488b42849d980,1432,-1,300,0.27349114418029785,0.37330013513565063
