source_project,target_project,scenario,best_epoch,wall_time_sec,ref_top1,ref_top5,ref_top10,ref_MAP,ref_MRR,full_top1,full_top5,full_top10,full_MAP,full_MRR,res_top1,res_top5,res_top10,res_MAP,res_MRR,n_test,n_gt_files,n_gt_files_in_top300
ansible/ansible,jupyterlab/jupyterlab,CP-transfer,10,2831.0,0.25,0.525,0.6,0.2781,0.3767,0.275,0.5,0.6,0.2933,0.3902,0.15,0.2,0.2,0.1628,0.1777,40,89,17
ansible/ansible,lightning-ai/lightning,CP-transfer,10,1760.3,0.2933,0.6133,0.7067,0.3345,0.4491,0.3333,0.56,0.7067,0.3537,0.4501,0.3333,0.56,0.7067,0.3539,0.4501,75,216,214
ansible/ansible,prefecthq/prefect,CP-transfer,10,1921.3,0.2073,0.439,0.6585,0.2343,0.3317,0.1951,0.4756,0.5854,0.2466,0.3299,0.1829,0.4268,0.5,0.2368,0.3,82,281,141
docker/compose,ipython/ipython,CP-transfer,10,2566.7,0.1775,0.4911,0.5562,0.2588,0.3116,0.2012,0.4852,0.5799,0.2731,0.3232,0.1834,0.4083,0.4793,0.2569,0.2843,169,362,206
docker/compose,jupyterlab/jupyterlab,CP-transfer,8,2583.7,0.125,0.275,0.325,0.1669,0.2091,0.225,0.375,0.425,0.2242,0.2975,0.125,0.175,0.175,0.135,0.1533,40,89,17
ipython/ipython,docker/compose,CP-transfer,10,1176.5,0.2735,0.547,0.6752,0.3481,0.4122,0.2479,0.5556,0.7094,0.3168,0.3853,0.2564,0.5641,0.735,0.3286,0.3964,117,259,259
ipython/ipython,jupyterlab/jupyterlab,CP-transfer,10,2643.1,0.275,0.475,0.55,0.2788,0.374,0.325,0.525,0.55,0.2992,0.4099,0.15,0.225,0.225,0.1556,0.1811,40,89,17
ipython/ipython,qiskit/qiskit,CP-transfer,10,4621.3,0.3199,0.5515,0.6618,0.3639,0.4337,0.3162,0.5846,0.6728,0.3534,0.4412,0.2132,0.3934,0.4449,0.2627,0.2951,272,1240,536
jupyterlab/jupyterlab,ansible/ansible,CP-transfer,10,5023.1,0.2338,0.4416,0.539,0.2645,0.3346,0.2143,0.4026,0.513,0.2533,0.3114,0.1169,0.1494,0.1883,0.1271,0.1379,154,318,56
jupyterlab/jupyterlab,docker/compose,CP-transfer,9,754.7,0.3162,0.6068,0.6752,0.3489,0.4361,0.3248,0.5385,0.6923,0.3544,0.4279,0.3248,0.5641,0.7009,0.3594,0.4317,117,259,259
