K,Recall
30,0.7754096176901558
50,0.8434794192087385
75,0.8863727187957906
100,0.9142134008258959
125,0.9297988544025576
150,0.9407219928067138
200,0.9564406553883043
250,0.9650992407086719
300,0.9718928999600372
400,0.98001864926069
500,0.9854802184627681
600,0.9888104435859865
700,0.9904089516451312
